,City,Cost_index,"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle),Cappuccino (regular),Coke/Pepsi (0.33 liter bottle),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),"Rice (white), (1kg)",Eggs (regular) (12),Local Cheese (1kg),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apples (1kg),Banana (1kg),Oranges (1kg),Tomato (1kg),Potato (1kg),Onion (1kg),Lettuce (1 head),Water (1.5 liter bottle),Bottle of Wine (Mid-Range),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle).1,Cigarettes 20 Pack (Marlboro),One-way Ticket (Local Transport),Monthly Pass (Regular Price),Taxi Start (Normal Tariff),Taxi 1km (Normal Tariff),Taxi 1hour Waiting (Normal Tariff),Gasoline (1 liter),Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat","Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","International Primary School, Yearly for 1 Child",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,Average Monthly Net Salary (After Tax)
184,Topeka,0.0,6.37,31.85,6.37,3.64,4.55,4.1,1.6,0.66,2.12,3.38,1.31,6.35,6.45,11.34,4.35,1.12,4.0,3.8,2.9,2.1,1.39,1.97,8.64,2.6,2.85,4.55,1.82,45.5,2.28,1.84,12.01,0.57,20020.0,18806.67,176.31,0.09,65.22,32.61,10.62,10.92,527.8,9100.0,34.81,24.27,65.52,81.9,596.05,557.83,1146.6,1069.25,716.13,446.76,2523.89
185,Akron,56.9,9.1,31.85,6.37,2.05,4.55,4.78,1.18,0.56,1.63,2.34,1.53,6.69,6.69,11.04,3.51,1.5,2.0,3.01,2.0,2.0,0.91,1.26,10.92,1.95,1.97,6.26,1.82,45.5,3.41,1.27,18.2,0.62,17745.0,18655.0,121.91,0.07,61.66,26.04,13.2,9.33,682.5,11830.0,44.85,36.4,65.22,79.17,604.5,572.0,966.88,902.42,943.83,637.55,2473.99
186,Louisville,67.95,13.65,62.18,6.37,4.55,5.46,4.19,1.36,0.4,1.57,3.76,1.56,10.7,7.19,10.63,4.0,1.06,3.42,5.27,3.01,3.1,1.62,1.64,12.74,1.43,3.03,5.32,1.59,45.5,2.35,1.27,27.3,0.57,20930.0,17987.67,135.34,0.09,50.34,23.47,14.56,9.66,609.7,27504.75,35.01,28.36,73.82,91.41,889.71,725.96,1482.54,1235.5,1613.39,831.57,2901.45
187,Bakersfield,72.67,11.15,62.34,7.28,5.46,3.64,3.75,1.27,0.9,2.86,2.87,2.98,14.64,9.03,11.94,2.74,1.38,3.51,2.76,2.41,1.8,1.03,2.25,13.65,3.18,4.1,6.82,1.5,36.4,2.73,1.56,24.57,0.86,22750.0,21172.67,190.63,0.14,85.74,25.06,6.07,10.92,470.17,18200.0,44.2,29.58,76.59,112.23,832.65,701.84,1393.44,1233.05,1563.96,1402.36,3371.32
188,Miami,77.83,13.65,68.25,7.28,5.46,7.28,3.77,1.86,0.94,2.64,5.47,2.61,10.99,7.96,12.4,4.54,1.56,3.18,4.58,2.48,1.97,2.04,2.07,11.83,2.01,2.38,6.69,2.05,102.38,2.73,1.69,21.84,0.64,20222.02,18738.37,137.8,0.12,60.25,41.05,16.43,12.74,728.39,19337.5,40.7,33.33,72.83,88.6,1626.46,1163.97,3144.41,2181.77,3986.41,2320.28,3259.05
189,Wellington,65.97,15.47,81.9,10.92,8.19,8.64,4.26,3.07,2.71,2.38,3.09,5.35,9.83,11.8,16.63,3.38,2.54,3.54,4.07,2.65,2.14,2.29,1.89,13.65,4.91,6.69,27.3,4.55,136.5,3.18,2.64,60.06,2.03,31850.0,27723.15,158.25,0.39,76.01,40.13,14.63,14.56,1000.75,14105.0,106.47,46.13,128.57,161.98,1657.62,1299.89,2912.0,2218.82,6368.07,4289.87,4284.93
190,Tempe,0.0,10.01,36.4,5.46,2.96,4.96,3.73,1.58,0.56,2.38,4.3,1.47,10.43,9.18,9.39,2.77,1.18,2.51,2.58,2.24,0.96,0.91,1.54,8.87,1.36,1.59,7.08,1.82,47.32,2.5,1.25,32.76,0.71,15015.0,17896.67,143.05,0.03,66.76,23.4,9.1,9.56,721.76,13680.33,33.97,23.66,55.12,62.56,978.25,746.2,1674.4,1255.8,1860.61,1625.82,3326.96
191,Burlington,98.31,18.2,68.25,8.19,4.78,5.92,4.48,1.97,0.96,3.69,7.02,3.93,16.53,13.36,12.04,7.02,1.53,6.69,8.42,1.5,4.87,3.33,3.03,10.01,2.07,3.0,9.1,1.36,45.5,6.82,2.27,15.92,0.67,33670.0,30940.0,198.3,0.14,78.87,72.57,7.28,10.92,773.5,18200.0,36.4,33.36,68.43,83.04,1205.75,910.0,2487.33,2129.4,3212.81,1922.3,4575.28
192,Richmond,68.22,13.65,54.6,7.28,5.23,5.92,3.87,1.74,0.7,2.34,2.41,1.3,9.78,6.42,10.03,4.5,0.95,5.01,3.03,3.21,1.55,1.3,2.05,10.92,3.86,3.94,5.0,1.59,54.6,2.73,1.41,27.3,0.56,20879.95,18097.06,133.13,0.14,57.46,25.44,9.4,10.92,756.44,11147.5,46.05,28.35,65.82,90.39,1041.22,822.56,1606.45,1309.71,2198.87,1148.13,3233.32
193,Bismarck,0.0,12.74,39.54,7.28,3.18,5.46,3.75,1.46,0.89,2.56,2.0,2.73,6.6,8.03,10.47,3.25,1.0,2.38,4.01,2.0,2.0,1.72,0.91,8.64,0.6,1.82,4.55,1.14,27.3,2.73,0.9,27.3,0.6,23660.0,21840.0,130.58,0.25,45.5,37.9,4.55,9.1,618.8,8645.0,37.49,27.3,77.35,63.7,637.0,477.75,1243.67,993.42,8007.54,6410.93,2989.35
