Date,Team,Acquired,Relinquished,Notes
2012-01-26,Celtics,,Jermaine O'Neal,sore left knee (DNP)
2012-01-26,Celtics,,Rajon Rondo,placed on IL with sprained right wrist
2012-01-26,Celtics,Chris Wilcox,,activated from IL
2012-01-26,Celtics,Keyon Dooling,,activated from IL
2012-01-26,Magic,,Justin Harper,placed on IL
2012-01-26,Magic,Daniel Orton,,activated from IL
2012-01-26,Clippers,Eric Bledsoe,,activated from IL
2012-01-27,76ers,,Nikola Vucevic,placed on IL
2012-01-27,76ers,,Spencer Hawes,strained left Achilles tendon (DNP)
2012-01-27,Bobcats,,D.J. Augustine,right big toe inflammation (DNP)
2012-01-27,Bobcats,,D.J. White,bruised left knee (DNP)
2012-01-27,Bucks,,Andrew Bogut,placed on IL with fractured left ankle
2012-01-27,Bucks,Jon Brockman,,activated from IL
2012-01-27,Bulls,,Luol Deng,placed on IL with torn ligament in left wrist
2012-01-27,Bulls,,Richard Hamilton,bruised thigh / groin injury (DNP)
2012-01-27,Bulls,Taj Gibson,,activated from IL
2012-01-27,Cavaliers,,Luke Harangody,placed on IL
2012-01-27,Cavaliers,Tristan Thompson,,activated from IL
2012-01-27,Celtics,,Jermaine O'Neal,sore left knee (DNP)
2012-01-27,Celtics,,Keyon Dooling,right hip pointer (DNP)
2012-01-27,Heat,,Terrel Harris,placed on IL
2012-01-27,Heat,Dwyane Wade,,activated from IL
2012-01-27,Jazz,Jamaal Tinsley,,returned to lineup
2012-01-27,Knicks,,Carmelo Anthony,placed on IL with sprained right ankle / wrist injury (CBC)
2012-01-27,Knicks,Josh Harrellson,,activated from IL
2012-01-27,Magic,,Ryan Anderson,placed on IL with sore left calf
2012-01-27,Magic,Justin Harper,,activated from IL
2012-01-27,Mavericks,,Delonte West,strained right hamstring (DNP)
2012-01-27,Mavericks,,Dirk Nowitzki,placed on IL with sore right knee
2012-01-27,Mavericks,Vince Carter,,activated from IL
2012-01-27,Nets,,MarShon Brooks,sore left Achilles tendon (DNP)
2012-01-27,Nets,,Mehmet Okur,sore lower back / back spasms (DNP)
2012-01-27,Nuggets,,Ty Lawson,placed on IL with sprained left ankle
2012-01-27,Nuggets,Rudy Fernandez,,returned to lineup
2012-01-27,Pacers,,Jeff Foster,sore lower back (DNP)
2012-01-27,Pistons,,Ben Gordon,sore left shoulder (DNP)
2012-01-27,Pistons,,Will Bynum,strained right foot (DNP)
2012-01-27,Raptors,,Andrea Bargnani,placed on IL with strained left calf
2012-01-27,Raptors,Solomon Alabi,,activated from IL
2012-01-27,Rockets,,Kevin Martin,placed on IL with plantar fasciitis in right foot
2012-01-27,Rockets,Hasheem Thabeet,,activated from IL
2012-01-27,Timberwolves,,Anthony Tolliver,wrist injury (DTD)
2012-01-27,Timberwolves,,Darko Milicic,illness (DNP)
2012-01-27,Timberwolves,,Jose Barea ,placed on IL with sprained left ankle
2012-01-27,Timberwolves,,Malcom Lee,placed on IL with recovering from surgery on left knee to repair torn meniscus
2012-01-27,Timberwolves,Brad Miller,,activated from IL
2012-01-27,Timberwolves,Martell Webster,,activated from IL
2012-01-27,Wizards,,Kevin Seraphin,dental procedure (DNP)
2012-01-28,76ers,,Spencer Hawes,strained left Achilles tendon (DNP)
2012-01-28,Bobcats,,Corey Maggette,placed on IL (date approximate)
2012-01-28,Bobcats,,D.J. Augustine,right big toe inflammation (DNP)
2012-01-28,Bobcats,,D.J. White,bruised left knee (DNP)
2012-01-28,Bobcats,,Gerald Henderson Jr.,bruised/strained lower back (DNP)
2012-01-28,Kings,,Hassan Whiteside,placed on IL
2012-01-28,Knicks,,Josh Harrellson,placed on IL with wrist injury
2012-01-28,Lakers,,Derrick Caracter,placed on IL
2012-01-28,Pistons,,Ben Gordon,sore left shoulder (DNP)
2012-01-28,Pistons,,Will Bynum,strained right foot (DNP)
2012-01-29,Bulls,,C.J. Watson,wrist injury (DNP)
2012-01-29,Cavaliers,,Daniel Gibson,placed on IL with sore neck
2012-01-29,Cavaliers,Mychel Thompson,,activated from IL
2012-01-29,Celtics,,Jermaine O'Neal,sore left knee (DNP)
2012-01-29,Celtics,,Keyon Dooling,placed on IL with right hip pointer
2012-01-29,Magic,,Jameer Nelson,placed on IL with concussion
2012-01-29,Magic,Ryan Anderson,,activated from IL
2012-01-29,Mavericks,,Jason Kidd,placed on IL with strained right calf
2012-01-29,Mavericks,Dirk Nowitzki,,activated from IL
2012-01-29,Nets,,Mehmet Okur,placed on IL with sore lower back
2012-01-29,Nuggets,,Jordan Hamilton,placed on IL
2012-01-29,Nuggets,,Ty Lawson,sprained left ankle (DNP)
2012-01-29,Raptors,,Leandro Barbosa,placed on IL with sore left ankle
2012-01-29,Raptors,Anthony Carter,,activated from IL
2012-01-29,Timberwolves,,Darko Milicic,illness (DNP)
2012-01-29,Clippers,Eric Bledsoe,,activated from IL
2012-01-29,Nets,Jordan Williams,,activated from IL
2012-01-30,76ers,,Spencer Hawes,placed on IL with strained left Achilles tendon
2012-01-30,76ers,Nikola Vucevic,,activated from IL
2012-01-30,Bucks,,Stephen Jackson,DNP
2012-01-30,Jazz,,Al Jefferson,right ankle inflammation (DNP)
2012-01-30,Jazz,,Raja Bell,strained right adductor (DNP)
2012-01-30,Magic,,Jason Richardson,placed on IL for rest / sore left knee
2012-01-30,Magic,DeAndre Liggins,,activated from IL
2012-01-30,Nets,,MarShon Brooks,fractured right little toe (out indefinitely)
2012-01-30,Pistons,,Ben Gordon,sore left shoulder (DNP)
2012-01-30,Pistons,,Will Bynum,strained right foot (DNP)
2012-01-30,Rockets,,Hasheem Thabeet,placed on IL
2012-01-30,Rockets,Kevin Martin,,activated from IL
2012-01-30,Suns,,Steve Nash,bruised left thigh (DNP)
2012-01-30,Thunder,,Ryan Reid,placed on IL (date approximate)
2012-01-30,Thunder,,Thabo Sefolosha,sore right foot (DNP)
2012-01-30,Timberwolves,,Darko Milicic,illness (DNP)
2012-01-30,Wizards,,Andray Blatche,placed on IL with strained left calf
2012-01-30,Spurs,,Malcolm Thomas ,placed on IL
2012-01-30,Wizards,Hamady N'Diaye,,activated from IL
2012-01-31,Bobcats,,D.J. Augustine,placed on IL
2012-01-31,Bobcats,Reggie Williams,,activated from IL
2012-01-31,Cavaliers,,Anthony Parker,strained lower back (DNP)
2012-01-31,Cavaliers,,Anthony Parker,placed on IL with strained lower back
2012-01-31,Grizzlies,,Sam Young,back spasms (DNP)
2012-01-31,Kings,Tyler Honeycutt,,activated from IL
2012-01-31,Knicks,Carmelo Anthony,,activated from IL
2012-01-31,Nets,,DeShawn Stevenson,placed on IL with sore right knee
2012-01-31,Nets,,MarShon Brooks,fractured right little toe (DNP)
2012-01-31,Nets,,Mehmet Okur,sore lower back (DNP)
2012-01-31,Nuggets,Ty Lawson,,activated from IL
2012-01-31,Pacers,,Jeff Foster,sore lower back (DNP)
2012-01-31,Pistons,,Ben Gordon,sore left shoulder (DNP)
2012-01-31,Pistons,,Will Bynum,strained right foot (DNP)
2012-01-31,Raptors,,Solomon Alabi,placed on IL
2012-01-31,Raptors,Leandro Barbosa,,activated from IL
2012-02-01,Blazers,,Nicolas Batum,placed on IL with left knee injury
2012-02-01,Blazers,Armon Johnson,,activated from IL
2012-02-01,Bulls,,Richard Hamilton,right thigh injury (DNP)
2012-02-01,Clippers,,Caron Butler,sore lower back (DNP)
2012-02-01,Clippers,,Eric Bledsoe,placed on IL with sore right knee
2012-02-01,Clippers,Travis Leslie,,activated from IL
2012-02-01,Jazz,,Raja Bell,strained right adductor (DNP)
2012-02-01,Mavericks,,Brendan Haywood,tightness in lower back (DNP)
2012-02-01,Mavericks,,Lamar Odom,stomach ailment (DNP)
2012-02-01,Nets,,Anthony Morrow,sore/sprained left ankle (DNP)
2012-02-01,Nets,,Johan Petro,stomach virus (DNP)
2012-02-01,Nets,,MarShon Brooks,fractured right little toe (DNP)
2012-02-01,Nets,,Mehmet Okur,sore lower back (DNP)
2012-02-01,Pacers,,George Hill,sprained left ankle (DNP)
2012-02-01,Pacers,,Jeff Foster,sore lower back (DNP)
2012-02-01,Pistons,,Ben Gordon,sore left shoulder (DNP)
2012-02-01,Pistons,,Will Bynum,strained right foot (DNP)
2012-02-01,Raptors,,Linas Kleiza,placed on IL with sore right knee
2012-02-01,Raptors,Solomon Alabi,,activated from IL
2012-02-01,Thunder,,Thabo Sefolosha,sore right foot (DNP)
2012-02-01,Timberwolves,,Anthony Randolph,placed on IL
2012-02-01,Timberwolves,Jose Barea ,,activated from IL
2012-02-02,Bobcats,,Gerald Henderson Jr.,strained right hamstring (out indefinitely)
2012-02-02,Bulls,,Richard Hamilton,right thigh injury (DNP)
2012-02-02,Hornets,,Jarrett Jack,knee injury (DTD)
2012-02-02,Jazz,,Devin Harris,strained left hamstring (DNP)
2012-02-02,Jazz,,Earl Watson,sprained left ankle (DNP)
2012-02-02,Jazz,,Raja Bell,strained right adductor (DNP)
2012-02-02,Nuggets,,Julyan Stone,placed on IL
2012-02-02,Nuggets,DeMarre Carroll,,activated from IL
2012-02-02,Nuggets,Jordan Hamilton,,activated from IL
2012-02-03,Blazers,,Greg Oden,surgery on right knee to remove debris (out indefinitely)
2012-02-03,Cavaliers,,Tristan Thompson,placed on IL with sprained left ankle (date approximate)
2012-02-03,Cavaliers,Luke Harangody,,activated from IL
2012-02-03,Celtics,,Marquis Daniels,placed on IL with right ankle injury
2012-02-03,Celtics,Rajon Rondo,,activated from IL
2012-02-03,Magic,,Glen Davis,placed on IL for suspension
2012-02-03,Magic,Jason Richardson,,activated from IL
2012-02-03,Nets,,MarShon Brooks,fractured right little toe (DNP)
2012-02-03,Nets,,Mehmet Okur,sore lower back (DNP)
2012-02-03,Nuggets,,DeMarre Carroll,placed on IL
2012-02-03,Nuggets,,Jordan Hamilton,placed on IL
2012-02-03,Nuggets,Julyan Stone,,activated from IL
2012-02-03,Pacers,,George Hill,sprained left ankle (DNP)
2012-02-03,Pacers,,Jeff Foster,sore lower back (DNP)
2012-02-03,Pistons,,Ben Gordon,sore left shoulder (DNP)
2012-02-03,Raptors,,Solomon Alabi,placed on IL
2012-02-03,Raptors,Linas Kleiza,,activated from IL
2012-02-03,Thunder,,Thabo Sefolosha,sore right foot (DNP)
2012-02-04,76ers,,Elton Brand,placed on IL with sprained right thumb
2012-02-04,76ers,Spencer Hawes,,activated from IL
2012-02-04,Blazers,,Armon Johnson,placed on IL
2012-02-04,Blazers,Nicolas Batum,,activated from IL
2012-02-04,Bobcats,,DeSagana Diop,right knee inflammation (DNP)
2012-02-04,Bobcats,,Gerald Henderson Jr.,strained right hamstring (DNP)
2012-02-04,Bulls,,Richard Hamilton,placed on IL with right thigh injury
2012-02-04,Bulls,Luol Deng,,activated from IL
2012-02-04,Clippers,,Kenyon Martin,placed on IL
2012-02-04,Hawks,,Jason Collins,sprained left elbow (DNP)
2012-02-04,Hornets,,Jarrett Jack,sore left knee (DNP)
2012-02-04,Nets,,MarShon Brooks,fractured right little toe (DNP)
2012-02-04,Nets,,Mehmet Okur,sore lower back (DNP)
2012-02-04,Nuggets,,Timofey Mozgov,placed on IL with left leg/ankle injury
2012-02-04,Nuggets,Jordan Hamilton,,activated from IL
2012-02-04,Pacers,,George Hill,sprained left ankle (DNP)
2012-02-04,Pacers,,Jeff Foster,sore lower back (DNP)
2012-02-04,Pistons,,Ben Gordon,sore left shoulder (DNP)
2012-02-04,Pistons,,Will Bynum,strained right foot (DNP)
2012-02-04,Raptors,,Amir Johnson,placed on IL
2012-02-04,Suns,,Jared Dudley,bruised thigh (DNP)
2012-02-04,Thunder,,Thabo Sefolosha,sore right foot (DNP)
2012-02-04,Timberwolves,,Darko Milicic,placed on IL with bruised left quadricep
2012-02-04,Timberwolves,Anthony Randolph,,activated from IL
2012-02-05,Celtics,,Brandon Bass,sore left knee (DNP)
2012-02-05,Grizzlies,,Tony Allen,hip injury (DTD)
2012-02-06,Blazers,,Raymond Felton,placed on IL with sprained left foot
2012-02-06,Blazers,Armon Johnson,,activated from IL
2012-02-06,Bulls,,Richard Hamilton,right thigh injury (DNP) (Fox)
2012-02-06,Grizzlies,,Tony Allen,sore left hip/knee (DNP)
2012-02-06,Hawks,,Jason Collins,sprained left elbow (DNP)
2012-02-06,Hornets,,Carl Landry,placed on IL with sprained MCL in left knee
2012-02-06,Hornets,,DaJuan Summers,right knee injury (DNP)
2012-02-06,Hornets,,Jarrett Jack,sore left knee (DNP)
2012-02-06,Hornets,,Jason Smith,concussion (DNP)
2012-02-06,Hornets,Chris Kaman,,activated from IL
2012-02-06,Magic,,DeAndre Liggins,placed on IL
2012-02-06,Magic,,Justin Harper,placed on IL
2012-02-06,Magic,Jameer Nelson,,activated from IL
2012-02-06,Nets,,MarShon Brooks,fractured right little toe (DNP)
2012-02-06,Nets,,Mehmet Okur,sore lower back (DNP)
2012-02-06,Nuggets,,Arron Afflalo,sprained left ankle (DNP)
2012-02-06,Nuggets,,Corey Brewer,placed on IL (Fox)
2012-02-06,Nuggets,,Nene Hilario ,strained left heel (DNP)
2012-02-06,Nuggets,,Timofey Mozgov,sprained left ankle (DNP) (Fox)
2012-02-06,Thunder,,Thabo Sefolosha,sore right foot (DNP)
2012-02-06,Thunder,,Thabo Sefolosha,placed on IL (F)
2012-02-06,Wizards,,Rashard Lewis,sore left (P) / right (CBC) knee (DNP)
2012-02-06,Magic,Glen Davis,,activated from IL
2012-02-06,Thunder,Ryan Reid,,activated from IL
2012-02-06,Timberwolves,Malcom Lee,,activated from IL
2012-02-07,Clippers,,Chauncey Billups,torn left Achilles tendon (out for season)
2012-02-07,Knicks,,Carmelo Anthony,strained right groin (out indefinitely)
2012-02-07,Nuggets,,Danilo Gallinari,chip fracture in left ankle (out indefinitely)
2012-02-07,Pacers,,George Hill,sprained left ankle (DNP)
2012-02-07,Pacers,,Jeff Foster,sore lower back (DNP)
2012-02-07,Warriors,,Nate Robinson,strained left groin (DNP)
2012-02-07,Warriors,Chris Wright ,,activated from IL
2012-02-07,76ers,,Craig Brackins,placed on IL (date approximate)
2012-02-08,76ers,,Spencer Hawes,strained left Achilles tendon (DNP)
2012-02-08,76ers,Elton Brand,,activated from IL
2012-02-08,Blazers,,Armon Johnson,placed on IL
2012-02-08,Blazers,Raymond Felton,,activated from IL
2012-02-08,Bucks,,Ersan Ilyasova,back spasms (DNP)
2012-02-08,Bulls,,Richard Hamilton,right thigh injury (DNP) (Fox)
2012-02-08,Cavaliers,,Kyrie Irving,concussion (DNP)
2012-02-08,Cavaliers,,Tristan Thompson,placed on IL (P)
2012-02-08,Cavaliers,Daniel Gibson,,activated from IL
2012-02-08,Clippers,,Chauncey Billups,placed on IL with torn left Achilles tendon (out for season)
2012-02-08,Clippers,Kenyon Martin,,activated from IL
2012-02-08,Hawks,,Jason Collins,sprained left elbow (DNP)
2012-02-08,Heat,,Mario Chalmers,placed on IL with sprained left hand
2012-02-08,Heat,Terrel Harris,,activated from IL
2012-02-08,Hornets,,Jason Smith,concussion (DNP)
2012-02-08,Knicks,,Carmelo Anthony,strained right groin (DNP)
2012-02-08,Magic,,Daniel Orton,placed on IL
2012-02-08,Magic,Justin Harper,,activated from IL
2012-02-08,Nets,,DeShawn Stevenson,sore right knee (DNP) (P Fox)
2012-02-08,Nets,,MarShon Brooks,fractured right little toe (DNP)
2012-02-08,Nets,,Mehmet Okur,sore lower back (DNP)
2012-02-08,Nuggets,,Danilo Gallinari,sprained left ankle (DNP)
2012-02-08,Nuggets,,Timofey Mozgov,sprained left ankle (DNP) (Fox)
2012-02-08,Pacers,,George Hill,chip fracture in left ankle (DNP)
2012-02-08,Pacers,,Jeff Foster,sore lower back (DNP)
2012-02-08,Rockets,,Greg Smith ,placed on IL
2012-02-08,Wizards,,Andray Blatche,strained left calf (DNP) (F)
2012-02-08,Wizards,,Rashard Lewis,sore left (P) / right (CBC) knee (DNP)
2012-02-09,Celtics,,Sasha Pavlovic,placed on IL with wrist injury
2012-02-09,Celtics,Marquis Daniels,,activated from IL
2012-02-09,Lakers,,Darius Morris,placed on IL
2012-02-09,Lakers,Steve Blake,,activated from IL
2012-02-09,Nets,,Keith Bogans,fractured left ankle / torn ligament in left ankle (out for season)
2012-02-09,Nuggets,,Danilo Gallinari,sprained left ankle (DNP)
2012-02-09,Nuggets,,Timofey Mozgov,sprained left ankle (DNP) (Fox)
2012-02-09,Rockets,Hasheem Thabeet,,activated from IL
2012-02-10,Bobcats,,Gerald Henderson Jr.,placed on IL
2012-02-10,Bobcats,Corey Maggette,,activated from IL
2012-02-10,Bucks,,Larry Sanders ,illness (DNP)
2012-02-10,Bulls,,Derrick Rose,strained lower back (DNP)
2012-02-10,Bulls,,Richard Hamilton,right thigh injury (DNP) (Fox)
2012-02-10,Cavaliers,,Kyrie Irving,placed on IL with concussion
2012-02-10,Cavaliers,Tristan Thompson,,activated from IL
2012-02-10,Celtics,,Jermaine O'Neal,sore left shoulder (DNP)
2012-02-10,Hawks,,Jason Collins,placed on IL
2012-02-10,Heat,,Terrel Harris,placed on IL
2012-02-10,Heat,Mario Chalmers,,activated from IL
2012-02-10,Hornets,,Chris Kaman,sprained left ankle (DTD)
2012-02-10,Hornets,,Jarrett Jack,sore left knee (CBC Fox) / ankle (DNP)
2012-02-10,Hornets,,Jason Smith,concussion (DNP)
2012-02-10,Jazz,,DeMarre Carroll,placed on IL
2012-02-10,Knicks,,Carmelo Anthony,strained right groin (DNP)
2012-02-10,Mavericks,,Dominique Jones,placed on IL
2012-02-10,Mavericks,Jason Kidd,,activated from IL
2012-02-10,Nets,,DeShawn Stevenson,sore right knee (DNP) (P Fox)
2012-02-10,Nets,,Keith Bogans,fractured left ankle / torn ligament in left ankle (DNP)
2012-02-10,Nets,,Mehmet Okur,sore lower back (DNP)
2012-02-10,Raptors,,Jerryd Bayless,placed on IL with sore/sprained left ankle
2012-02-10,Raptors,Solomon Alabi,,activated from IL
2012-02-10,Timberwolves,,Malcom Lee,placed on IL (F)
2012-02-10,Wizards,,Andray Blatche,strained left calf (DNP) (F)
2012-02-10,Wizards,,Rashard Lewis,sore left (P) / right (CBC) knee (DNP)
2012-02-11,76ers,,Spencer Hawes,strained left Achilles tendon (DNP)
2012-02-11,Bucks,,Larry Sanders ,illness (DNP)
2012-02-11,Cavaliers,,Anderson Varejao,placed on IL with fractured bone in right wrist
2012-02-11,Clippers,Eric Bledsoe,,activated from IL
2012-02-11,Knicks,,Carmelo Anthony,strained right groin (DNP)
2012-02-11,Nets,,DeShawn Stevenson,sore right knee (DNP) (P Fox)
2012-02-11,Nets,,Keith Bogans,placed on IL recovering from surgery on left ankle to repair fracture and torn ligament
2012-02-11,Nets,,Mehmet Okur,sore lower back (DNP)
2012-02-11,Nuggets,,Danilo Gallinari,sprained left ankle (DNP)
2012-02-11,Nuggets,,Danilo Gallinari,placed on IL (F)
2012-02-11,Pacers,,George Hill,chip fracture in left ankle / sprained left ankle (DNP) (Fox P)
2012-02-11,Pacers,,Jeff Foster,sore lower back (DNP)
2012-02-11,Spurs,Manu Ginobili,,activated from IL
2012-02-12,Bulls,,Derrick Rose,strained lower back (DNP)
2012-02-12,Bulls,,Richard Hamilton,right thigh injury (DNP) (Fox)
2012-02-12,Celtics,,Brandon Bass,placed on IL with right knee inflammation
2012-02-12,Celtics,,Jermaine O'Neal,placed on IL
2012-02-12,Celtics,Sasha Pavlovic,,activated from IL
2012-02-12,Celtics,Keyon Dooling,,activated from IL
2012-02-12,Rockets,,Hasheem Thabeet,lower back injury (DNP)
2012-02-12,Warriors,,Dominic McGuire,strained/sore left knee (DNP)
2012-02-12,Wizards,,Andray Blatche,strained left calf (DNP) (F)
2012-02-12,Heat,,Mickell Gladness,placed on IL
2012-02-13,76ers,,Spencer Hawes,strained left Achilles tendon (DNP)
2012-02-13,Heat,,Dexter Pittman,placed on IL with sprained left shoulder
2012-02-13,Heat,Mickell Gladness,,activated from IL
2012-02-13,Hornets,,Emeka Okafor,sore left knee (DNP)
2012-02-13,Hornets,,Jarrett Jack,bruised left knee (DNP)
2012-02-13,Hornets,,Jason Smith,concussion (DNP)
2012-02-13,Suns,,Hakim Warrick,placed on IL
2012-02-13,Timberwolves,Darko Milicic,,activated from IL
2012-02-14,Bulls,,Derrick Rose,strained lower back (DNP)
2012-02-14,Clippers,,Chauncey Billups,surgery to repair torn left Achilles tendon (out for season)
2012-02-14,Grizzlies,,Josh Selby,placed on IL
2012-02-14,Kings,,Jimmer Fredette,stomach virus (DNP)
2012-02-14,Knicks,,Carmelo Anthony,strained right groin (DNP)
2012-02-14,Nuggets,,Danilo Gallinari,sprained left ankle (DNP) (P)
2012-02-14,Nuggets,,Danilo Gallinari,placed on IL (F)
2012-02-14,Nuggets,,Nene Hilario ,strained left calf (DNP)
2012-02-14,Pacers,,George Hill,sprained left ankle (DNP)
2012-02-14,Suns,,Grant Hill,rest (DNP)
2012-02-14,Suns,,Steve Nash,rest (DNP)
2012-02-14,Suns,Hakim Warrick,,activated from IL
2012-02-14,Wizards,,Andray Blatche,strained left calf (DNP) (F)
2012-02-14,Nets,Keith Bogans,,activated from IL
2012-02-15,76ers,,Spencer Hawes,strained left Achilles tendon (DNP)
2012-02-15,Blazers,,LaMarcus Aldridge,placed on IL with sprained left ankle
2012-02-15,Blazers,Armon Johnson,,activated from IL
2012-02-15,Bobcats,,Eduardo Najera,placed on IL
2012-02-15,Bobcats,D.J. Augustine,,activated from IL
2012-02-15,Cavaliers,Kyrie Irving,,activated from IL
2012-02-15,Celtics,,Kevin Garnett,sore left hip (DNP)
2012-02-15,Celtics,,Marquis Daniels,placed on IL
2012-02-15,Celtics,Jermaine O'Neal,,activated from IL
2012-02-15,Grizzlies,,Sam Young,sprained right ankle (DNP)
2012-02-15,Hawks,,Tracy McGrady,rest (DNP)
2012-02-15,Hornets,,Emeka Okafor,sore left knee (DNP)
2012-02-15,Hornets,,Jarrett Jack,bruised left knee (DNP)
2012-02-15,Hornets,,Jason Smith,concussion (DNP)
2012-02-15,Kings,,Tyler Honeycutt,placed on IL
2012-02-15,Kings,Hassan Whiteside,,activated from IL
2012-02-15,Knicks,,Carmelo Anthony,strained right groin (DNP)
2012-02-15,Mavericks,,Jason Terry,placed on IL with quadriceps injury
2012-02-15,Mavericks,Dominique Jones,,activated from IL
2012-02-15,Nets,,Jordan Farmar,strained right groin (DNP)
2012-02-15,Nets,,Mehmet Okur,sore lower back (DNP)
2012-02-15,Nets,,Shawne Williams,placed on IL with sprained left shoulder
2012-02-15,Nuggets,,Danilo Gallinari,sprained left ankle (DNP) (F P)
2012-02-15,Nuggets,,Nene Hilario ,strained left calf (DNP)
2012-02-15,Pacers,,Danny Granger,sprained left ankle (DNP)
2012-02-15,Pacers,,George Hill,sprained left ankle (DNP)
2012-02-15,Pacers,,Jeff Foster,sore lower back (DNP)
2012-02-15,Raptors,,Linas Kleiza,sore left knee (DNP)
2012-02-15,Rockets,,Hasheem Thabeet,sore back (DNP)
2012-02-15,Timberwolves,,Anthony Randolph,placed on IL
2012-02-16,Bulls,,Derrick Rose,strained lower back (DNP)
2012-02-16,Bulls,,Richard Hamilton,placed on IL with right thigh injury
2012-02-16,Nets,,Mehmet Okur,sore lower back (DNP)
2012-02-16,Pacers,,George Hill,sprained left ankle (DNP)
2012-02-17,76ers,,Spencer Hawes,strained left Achilles tendon (DNP)
2012-02-17,Bucks,,Drew Gooden,sprained right wrist (DNP)
2012-02-17,Cavaliers,,Daniel Gibson,sprained left ankle (DNP) (P)
2012-02-17,Cavaliers,,Daniel Gibson,placed on IL with sprained left ankle (F)
2012-02-17,Hornets,,Emeka Okafor,sore left knee (DNP)
2012-02-17,Hornets,,Jason Smith,concussion (DNP)
2012-02-17,Knicks,,Carmelo Anthony,strained right groin (DNP)
2012-02-17,Lakers,,Devin Ebanks,placed on IL
2012-02-17,Lakers,Darius Morris,,activated from IL
2012-02-17,Magic,Daniel Orton,,activated from IL
2012-02-17,Mavericks,,Delonte West,surgery on broken right ring finger to insert pins (out indefinitely)
2012-02-17,Nuggets,,Danilo Gallinari,sprained left ankle (DNP) (P)
2012-02-17,Nuggets,,Nene Hilario ,placed on IL with strained left calf
2012-02-17,Nuggets,Timofey Mozgov,,activated from IL (P)
2012-02-17,Raptors,,Linas Kleiza,placed on IL with sore left knee
2012-02-17,Raptors,Jerryd Bayless,,activated from IL
2012-02-17,Thunder,,Kendrick Perkins,bruised right knee (DNP)
2012-02-17,Timberwolves,Anthony Randolph,,activated from IL
2012-02-17,Knicks,,J.R. Smith,placed on IL
2012-02-18,Blazers,,Armon Johnson,placed on IL
2012-02-18,Blazers,LaMarcus Aldridge,,activated from IL
2012-02-18,Bulls,,Derrick Rose,strained lower back (DNP)
2012-02-18,Grizzlies,,Sam Young,sprained right ankle (DNP)
2012-02-18,Nets,,Mehmet Okur,sore lower back (DNP)
2012-02-19,Bucks,,Drew Gooden,sprained right wrist (DNP)
2012-02-19,Bucks,,Tobias Harris,bruised right shoulder (DNP)
2012-02-19,Cavaliers,,Daniel Gibson,sprained left ankle (DNP) (P)
2012-02-19,Celtics,Marquis Daniels,,activated from IL
2012-02-19,Heat,,Mickell Gladness,placed on IL
2012-02-19,Heat,Dexter Pittman,,activated from IL
2012-02-19,Knicks,,Bill Walker,sore left elbow (DNP)
2012-02-19,Knicks,,Carmelo Anthony,strained right groin (DNP)
2012-02-19,Knicks,Baron Davis,,activated from IL
2012-02-19,Magic,,Daniel Orton,placed on IL
2012-02-19,Magic,,Jason Richardson,chest pain (DNP)
2012-02-19,Mavericks,,Delonte West,placed on IL recovering from surgery on broken right ring finger to insert pins
2012-02-19,Mavericks,Jason Terry,,activated from IL
2012-02-19,Nets,,Jordan Farmar,strained right groin (DNP)
2012-02-19,Nets,,Mehmet Okur,sore lower back (DNP)
2012-02-19,Nets,Brook Lopez,,activated from IL
2012-02-19,Nuggets,,Danilo Gallinari,sprained left ankle (DNP) (P)
2012-02-19,Nuggets,,Rudy Fernandez,strained lower back (DNP)
2012-02-19,Pacers,,George Hill,sprained left ankle (DNP)
2012-02-19,Rockets,,Hasheem Thabeet,sore lower back (DNP)
2012-02-19,Rockets,,Jordan Hill,placed on IL with sprained MCL in right knee
2012-02-19,Thunder,,Lazar Hayward,fractured orbital floor (DNP)
2012-02-19,Timberwolves,,Anthony Randolph,placed on IL
2012-02-19,Rockets,Greg Smith ,,activated from IL
2012-02-20,Blazers,,Greg Oden,microfracture surgery on left knee (out indefinitely)
2012-02-20,Bucks,,Drew Gooden,sprained right wrist (DNP)
2012-02-20,Bucks,,Tobias Harris,bruised right shoulder (DNP)
2012-02-20,Bulls,,C.J. Watson,placed on IL with concussion (F)
2012-02-20,Hornets,,Emeka Okafor,sore left knee (DNP)
2012-02-20,Hornets,,Jason Smith,concussion (DNP)
2012-02-20,Jazz,,Raja Bell,placed on IL with strained right adductor
2012-02-20,Jazz,DeMarre Carroll,,activated from IL
2012-02-20,Knicks,,Bill Walker,placed on IL (F)
2012-02-20,Knicks,,Bill Walker,sore left elbow (DNP)
2012-02-20,Knicks,,Iman Shumpert,placed on IL with knee injury
2012-02-20,Magic,,Jason Richardson,placed on IL with chest pain
2012-02-20,Magic,DeAndre Liggins,,activated from IL
2012-02-20,Nets,,Brook Lopez,placed on IL (F)
2012-02-20,Nets,,Jordan Farmar,strained right groin (DNP)
2012-02-20,Nets,,Mehmet Okur,sore lower back (DNP)
2012-02-20,Nuggets,,Danilo Gallinari,sprained left ankle (DNP) (F P)
2012-02-20,Nuggets,,Rudy Fernandez,strained lower back (DNP)
2012-02-20,Rockets,,Hasheem Thabeet,placed on IL with back injury
2012-02-20,Spurs,,Manu Ginobili,placed on IL with strained left oblique muscle
2012-02-20,Spurs,,Tiago Splitter,placed on IL with strained right calf
2012-02-20,Thunder,,James Harden,sprained left ankle (DNP)
