Continent,Country,Last_Updated_Date,Total_Cases,Total_Deaths,Total_Cases_Per_Million,Total_Deaths_Per_Million,Total_tests,Positive_rate,Total_Vaccinations,People_Vaccinated,People_Fully_Vaccinated,Population,Population_Density,Median_Age,Aged_65_Older,Aged_70_Older,GDP_Per_Capita
South America,Bolivia,11-10-2021,504121,18803,42603.205,1589.039,2456130,0.055,6931689,4357421,3465762,11832936,10.202,25.4,6.704,4.393,6885.829
Europe,Bosnia and Herzegovina,11-10-2021,241227,10965,73917.583,3359.932,1253492,0.238,1242203,734195,508008,3263459,68.496,42.5,16.569,10.711,11713.895
Africa,Botswana,11-10-2021,181251,2381,75608.199,993.226,,,690001,444442,245559,2397240,4.044,25.8,3.941,2.242,15807.374
South America,Brazil,11-10-2021,21582738,601213,100857.007,2809.493,,,249340259,154414034,99584719,213993441,25.04,33.5,8.552,5.06,14103.452
North America,British Virgin Islands,08-10-2021,,,,,,,33075,17607,15468,30423,207.973,,,,
Asia,Brunei,11-10-2021,9167,64,20761.802,144.95,,,542019,330410,211609,441532,81.347,32.4,4.591,2.382,71809.251
Europe,Bulgaria,11-10-2021,524333,21813,76027.146,3162.838,4990220,0.126,2593879,1407830,1365088,6896655,65.18,44.7,20.801,13.272,18563.307
Africa,Burkina Faso,11-10-2021,14516,195,675.254,9.071,,,297231,273428,208994,21497097,70.151,17.6,2.409,1.358,1703.102
Africa,Burundi,11-10-2021,19257,38,1571.304,3.101,,,,,,12255429,423.062,17.5,2.562,1.504,702.225
Asia,Cambodia,11-10-2021,115068,2527,6790.096,149.117,,,25162526,13510285,11724361,16946446,90.672,25.6,4.412,2.385,3645.07
Africa,Cameroon,11-10-2021,95399,1517,3504.19,55.722,,,476512,391795,84717,27224262,50.885,18.8,3.165,1.919,3364.926
North America,Canada,11-10-2021,1668009,28264,43816.665,742.463,44186056,0.036,57071632,29363912,27431198,38067913,4.037,41.4,16.984,10.797,44017.591
Africa,Cape Verde,11-10-2021,37902,346,67453.163,615.767,,,460484,291055,166158,561901,135.58,25.7,4.46,3.437,6222.554
North America,Cayman Islands,08-10-2021,,,,,,,108614,55530,55530,66498,256.496,,,,49903.029
Africa,Central African Republic,11-10-2021,11401,100,2317.283,20.325,,,207004,197103,9901,4919987,7.479,18.3,3.655,2.251,661.24
Africa,Chad,11-10-2021,5061,174,299.202,10.287,,,173184,139591,33593,16914985,11.833,16.7,2.486,1.446,1768.153
South America,Chile,11-10-2021,1663383,37571,86578.787,1955.564,22194480,0.016,33398155,15929675,14215986,19212362,24.282,35.4,11.087,6.938,22767.037
Asia,China,11-10-2021,96512,4636,66.827,3.21,,,2222666000,1154856151,1047872000,1444216102,147.674,38.7,10.641,5.929,15308.712
South America,Colombia,11-10-2021,4973325,126655,97010.503,2470.553,25954762,0.037,42885532,27832514,18501504,51265841,44.223,32.2,7.646,4.312,13254.949
Africa,Comoros,11-10-2021,4166,147,4689.034,165.456,,,360675,198577,162098,888456,437.352,20.4,2.963,1.726,1413.89
Africa,Congo,11-10-2021,14833,206,2622.053,36.415,,,372046,253726,118320,5657017,15.405,19,3.402,2.063,4881.406
Oceania,Cook Islands,05-10-2021,,,,,,,22536,11404,11132,17572,,,,,
North America,Costa Rica,11-10-2021,546595,6698,106361.036,1303.353,1927328,0.281,5760293,3470013,2290280,5139053,96.079,33.6,9.468,5.694,15524.995
Africa,Cote d'Ivoire,11-10-2021,60829,669,2248.46,24.729,1029903,0.021,2490820,1921801,569019,27053629,76.399,18.7,2.933,1.582,3601.006
Europe,Croatia,11-10-2021,418028,8778,102416.249,2150.597,2913176,0.143,3486793,1852899,1633894,4081657,73.726,44,19.724,13.053,22669.797
North America,Cuba,11-10-2021,921328,7891,81407.392,697.239,,,22875849,9623676,6184534,11317498,110.408,43.1,14.738,9.719,
North America,Curacao,10-10-2021,,,,,,,188871,98611,90260,164796,362.644,41.7,16.367,10.068,
Europe,Cyprus,11-10-2021,121364,560,135450.137,624.997,13835984,0.002,1186491,599052,563053,896005,127.657,37.3,13.416,8.563,32415.132
Europe,Czechia,11-10-2021,1700078,30504,158522.038,2844.314,,0.015,11874310,6111351,6005762,10724553,137.176,43.3,19.027,11.58,32605.906
Africa,Democratic Republic of Congo,11-10-2021,57247,1087,619.704,11.767,,,140254,102610,37644,92377986,35.879,17,3.02,1.745,808.133
Europe,Denmark,11-10-2021,366388,2673,63025.798,459.808,41501675,0.015,8804552,4462629,4388221,5813302,136.52,42.3,19.677,12.325,46682.515
Africa,Djibouti,11-10-2021,13229,177,13200,176.612,,,92097,66010,26087,1002197,41.285,25.4,4.213,2.38,2705.406
North America,Dominica,11-10-2021,4020,26,55700.272,360.251,,,48091,26294,21797,72172,98.567,,,,9673.367
