Nrand,region,Python,RapidMiner,R Language,SQL Language,Excel,Anaconda,Tensorflow,Tableau,scikit-learn,Keras,Apache Spark,with DL,with BD,ntools,Votes
252,asia,1,1,0,1,1,0,0,0,0,0,1,1,1,12,Excel;IBM SPSS Statistics;MATLAB;RapidMiner;Weka;Java;Python;SQL Language;Other programming and data languages;Apache Spark;Apache MXnet;DeepLearning4J
1072,euro,0,0,1,1,0,0,0,0,0,0,0,0,0,4,TIBCO Spotfire;TIBCO Statistica;R Language;SQL Language
829,euro,1,0,1,0,0,0,1,0,0,0,0,1,1,6,KNIME;Java;Python;R Language;Open Source Hadoop Tools;Tensorflow
730,euro,1,1,0,0,0,1,0,0,1,0,1,0,1,6,Anaconda;RapidMiner;scikit-learn;Python;Scala;Apache Spark
1442,usca,0,1,0,0,0,0,0,0,0,0,0,0,1,3,RapidMiner;Java;Open Source Hadoop Tools
1723,euro,1,0,1,0,0,0,1,0,1,0,0,1,0,7,KNIME;scikit-learn;Weka;Java;Python;R Language;Tensorflow
1879,euro,0,0,1,0,0,0,0,0,0,0,0,0,0,6,Gnu Octave;KNIME;Java;R Language;Unix shell/awk/gawk;Other programming and data languages
123,euro,1,0,0,0,1,1,1,0,1,1,1,1,1,14,Anaconda;Databricks Unified Analytics Platform;Excel;PyCharm;scikit-learn;C/C++;Java;Python;Unix shell/awk/gawk;Apache Spark;Keras;PyTorch;Tensorflow;Theano
234,usca,1,0,1,1,1,0,1,1,0,0,0,1,0,11,Alteryx;Excel;IBM SPSS Modeler;IBM SPSS Statistics;Microsoft Power BI;Tableau;Python;R Language;SQL Language;Microsoft Cognitive Toolkit (Prev. CNTK) ;Tensorflow
1402,usca,1,0,0,1,1,0,0,0,1,0,0,0,0,5,Excel;scikit-learn;Python;SQL Language;Unix shell/awk/gawk
1263,usca,1,0,1,0,1,1,1,1,1,0,0,1,0,12,Alteryx;Anaconda;Excel;PyCharm;SAP HANA;scikit-learn;Tableau;Other free analytics/data mining tools;Python;R Language;Unix shell/awk/gawk;Tensorflow
1230,euro,1,1,1,1,1,0,1,0,0,0,0,1,0,13,Excel;Microsoft Azure Machine Learning;MicroStrategy;RapidMiner;SAP Analytics/Predictive Analytics;Weka;Other free analytics/data mining tools;Java;Python;R Language;SQL Language;DeepLearning4J;Tensorflow
760,euro,0,1,0,0,0,1,0,1,0,0,1,0,1,7,Anaconda;Microsoft Azure Machine Learning;RapidMiner;SAS Enterprise Miner;Tableau;Apache Spark;SQL on Hadoop tools
1885,usca,1,0,0,0,0,0,0,0,0,0,0,0,0,2,Alteryx;Python
1319,asia,1,1,0,0,0,0,0,0,0,0,0,0,1,5,RapidMiner;Java;Python;SQL on Hadoop tools;Spark SQL
989,usca,1,0,0,0,0,0,0,0,0,0,0,0,1,4,Dataiku;Python;Open Source Hadoop Tools;Spark SQL
884,euro,1,1,0,0,0,0,0,0,0,0,1,0,1,8,Microsoft Power BI;QlikView;RapidMiner;C/C++;Python;Apache Spark;Open Source Hadoop Tools;SQL on Hadoop tools
1703,asia,1,0,0,1,0,0,1,0,0,1,1,1,1,6,Dataiku;Python;SQL Language;Apache Spark;Keras;Tensorflow
282,usca,0,1,0,1,0,0,0,0,0,1,1,1,1,4,RapidMiner;SQL Language;Apache Spark;Keras
1102,usca,0,0,0,1,0,0,0,1,0,0,0,0,0,5,Microsoft SQL Server;SAS Base;Tableau;SQL Language;Other programming and data languages
2043,euro,1,0,0,0,0,1,0,1,0,0,1,0,1,6,Anaconda;KNIME;Tableau;Python;Scala;Apache Spark
700,usca,1,0,0,1,0,1,0,0,1,0,1,0,1,7,Anaconda;scikit-learn;Weka;Python;SQL Language;Apache Spark;Spark SQL
1978,asia,1,0,0,1,1,1,1,0,1,1,1,1,1,10,Anaconda;Excel;MLlib;scikit-learn;Other free analytics/data mining tools;Python;SQL Language;Apache Spark;Keras;Tensorflow
865,euro,0,1,0,0,0,0,0,0,0,0,0,0,1,3,RapidMiner;Java;SQL on Hadoop tools
1254,euro,1,0,1,0,0,0,0,0,1,1,0,1,0,9,Gnu Octave;Orange;scikit-learn;Weka;C/C++;Python;R Language;Keras;Theano
470,asia,1,1,0,1,0,1,1,1,1,1,1,1,1,19,Amazon Machine Learning;Anaconda;H2O.ai;Microsoft Azure Machine Learning;PyCharm;RapidMiner;scikit-learn;Tableau;Java;Python;Scala;SQL Language;Apache Spark;Spark SQL;DeepLearning4J;Keras;Microsoft Cognitive Toolkit (Prev. CNTK) ;Tensorflow;TFLearn
685,asia,1,1,0,0,0,0,0,0,0,0,0,0,0,2,RapidMiner;Python
674,euro,0,0,1,0,0,0,0,0,0,0,0,0,0,2,SAS Enterprise Miner;R Language
1339,asia,1,0,0,0,0,1,0,0,0,0,0,1,0,3,Anaconda;Python;Microsoft Cognitive Toolkit (Prev. CNTK) 
1865,usca,1,0,1,1,1,0,0,0,0,0,0,1,1,13,Alteryx;DataRobot;Excel;IBM SPSS Modeler;Microsoft Machine Learning Server (former R Server);Microsoft Power BI;Microsoft SQL Server;Python;R Language;SQL Language;SQL on Hadoop tools;Spark SQL;Torch
395,asia,1,0,0,0,0,0,0,0,0,0,0,0,0,4,KNIME;Orange;PyCharm;Python
414,usca,1,0,1,1,0,1,0,1,1,0,0,1,1,10,Anaconda;Microsoft SQL Server;scikit-learn;Tableau;Python;R Language;SQL Language;Unix shell/awk/gawk;Open Source Hadoop Tools;PyTorch
764,asia,0,1,1,0,0,0,0,0,0,0,0,0,0,2,RapidMiner;R Language
1062,euro,1,0,1,0,1,0,0,0,0,0,0,0,0,7,Excel;KNIME;Weka;Other free analytics/data mining tools;Java;Python;R Language
1802,euro,1,0,0,1,0,0,0,0,1,0,1,1,1,10,KNIME;MLlib;scikit-learn;Java;Python;Scala;SQL Language;Apache Spark;Spark SQL;DeepLearning4J
728,usca,1,0,1,0,0,0,0,0,0,0,0,0,0,5,IBM Cognos;JMP;Microsoft Power BI;Python;R Language
226,euro,1,1,1,0,0,1,1,0,1,1,0,1,0,11,Anaconda;KNIME;PyCharm;RapidMiner;scikit-learn;Python;R Language;Caffe2;Keras;Tensorflow;Theano
523,euro,0,1,1,0,1,0,0,0,0,0,0,0,0,3,Excel;RapidMiner;R Language
1210,usca,1,0,0,1,0,0,0,0,0,0,1,0,1,9,Dataiku;Java;Python;Scala;SQL Language;Unix shell/awk/gawk;Apache Spark;SQL on Hadoop tools;Spark SQL
1324,euro,0,1,0,1,0,0,0,0,0,0,0,0,0,4,IBM SPSS Modeler;KNIME;RapidMiner;SQL Language
1171,asia,1,1,1,0,1,0,0,1,0,0,0,0,0,8,Excel;IBM SPSS Statistics;RapidMiner;SAS Base;SAS Enterprise Miner;Tableau;Python;R Language
875,euro,1,0,1,0,1,0,0,0,0,0,0,0,0,7,Excel;KNIME;SAP Analytics/Predictive Analytics;SAP HANA;Java;Python;R Language
1132,usca,1,0,1,1,0,0,0,0,0,0,0,1,1,8,SAS Base;SAS Enterprise Miner;TIBCO Spotfire;Python;R Language;SQL Language;Commercial Hadoop Tools;Other Deep Learning Tools
17,euro,1,1,0,0,0,0,0,0,0,0,0,1,0,5,MATLAB;RapidMiner;Java;Python;Caffe2
