year,rank_display,university,score,link,country,city,region,logo
2019,601-650,Lobachevsky University,,https://www.topuniversities.com/universities/lobachevsky-university,Russia,Nizhny Novgorod,Europe,https://www.topuniversities.com/sites/default/files/lobachevsky-university_1497_small.jpg
2019,601-650,National Chengchi University,,https://www.topuniversities.com/universities/national-chengchi-university,Taiwan,Taipei City,Asia,https://www.topuniversities.com/sites/default/files/national-chengchi-university_436_small.jpg
2019,601-650,"National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute""",,https://www.topuniversities.com/universities/national-technical-university-ukraine-igor-sikorsky-kyiv-polytechnic-institute,Ukraine,Kyiv,Europe,https://www.topuniversities.com/sites/default/files/national-technical-university-of-ukraine-igor-sikorsky-kyiv-polytechnic-institute_592560cf2aeae70239af55b9_small.jpg
2019,601-650,Osaka Prefecture University ,,https://www.topuniversities.com/universities/osaka-prefecture-university,Japan,Osaka City,Asia,https://www.topuniversities.com/sites/default/files/osaka-prefecture-university-_592560cf2aeae70239af4e81_small.jpg
2019,601-650,Philipps-Universität Marburg ,,https://www.topuniversities.com/universities/philipps-universitat-marburg,Germany,Marburg,Europe,https://www.topuniversities.com/sites/default/files/philipps-universitt-marburg_392_small.jpg
2019,601-650,Pontifícia Universidade Católica do Rio de Janeiro,,https://www.topuniversities.com/universities/pontificia-universidade-catolica-do-rio-de-janeiro,Brazil,Rio de Janeiro,Latin America,https://www.topuniversities.com/sites/default/files/pontifcia-universidade-catlica-do-rio-de-janeiro_526_small.jpg
2019,601-650,Rutgers University–Newark,,https://www.topuniversities.com/universities/rutgers-university-newark,United States,Newark,North America,https://www.topuniversities.com/sites/default/files/rutgers-the-state-university-of-new-jersey_592560cf2aeae70239af52b1_small.jpg
2019,601-650,Sichuan University,,https://www.topuniversities.com/universities/sichuan-university,China (Mainland),Chengdu,Asia,https://www.topuniversities.com/sites/default/files/sichuan-university_885_small.jpg
2019,601-650,Smith College,,https://www.topuniversities.com/universities/smith-college,United States,Northampton,North America,https://www.topuniversities.com/sites/default/files/smith-college_592560cf2aeae70239af4cb7_small.jpg
2019,601-650,Tallinn University of Technology (TalTech),,https://www.topuniversities.com/universities/tallinn-university-technology-taltech,Estonia,Tallinn,Europe,https://www.topuniversities.com/sites/default/files/tallinn-university-of-technology-taltech_592560cf2aeae70239af4cd3_small.jpg
2019,601-650,Taylor's University,,https://www.topuniversities.com/universities/taylors-university,Malaysia,Subang Jaya,Asia,https://www.topuniversities.com/sites/default/files/taylors-university_592560cf2aeae70239af57af_small.jpg
