Type,Name,Address,Grade,District,AGA Division,PS/MC/UC,Full_Add,Lat,Lon
Travel Agents,ALOYS TRAVEL SERVICE (PVT) LTD,"NO. 66, BANGALAWATTA ROAD, MABOLA, WATTALA",,Gampaha,Wattala Pradeshiya Sabha,Wattala Divisional Secretariat,"NO. 66, BANGALAWATTA ROAD, MABOLA, WATTALA, Gampaha, Sri Lanka",79.883006,6.9889
Travel Agents,NUSRATH TOURS & TRAVELS,"NO.395/ 1/1, PERADENIYA ROAD, KANDY",,Kandy,Kandy,Kandy Divisional Secretariat,"NO.395/ 1/1, PERADENIYA ROAD, KANDY, Kandy, Sri Lanka",80.625828,7.295044
Travel Agents,TOUR SOLUTIONS LANKA (PVT) LTD,"NO.128, VAUXHALL STREET, COLOMBO 2",,Colombo,Colombo,Colombo Divisional Secretariat,"NO.128, VAUXHALL STREET, COLOMBO 2, Colombo, Sri Lanka",80.01667,6.86667
Travel Agents,UMMUL QURA TRAVELS & TOURS (PVT) LTD,"NO.307A, MAKKAMADY ROAD, MARUTHAMUNAI",,Ampara,Ampara,Samanthurai Divisional Secretariat,"NO.307A, MAKKAMADY ROAD, MARUTHAMUNAI, Ampara, Sri Lanka",81.8129664380103,7.43435840009084
Travel Agents,TRAVEL WORLD (PVT) LTD,"NO.12, GALLE FACE COURT 2, COLOMBO 3",,Colombo,Colombo,Colombo Divisional Secretariat,"NO.12, GALLE FACE COURT 2, COLOMBO 3, Colombo, Sri Lanka",80.01667,6.86667
Travel Agents,HEART ATTACHED (PVT) LTD,"UNIT 2A, 30A, ALWIS PLACE, COLOMBO 3",,Colombo,Colombo,Colombo Divisional Secretariat,"UNIT 2A, 30A, ALWIS PLACE, COLOMBO 3, Colombo, Sri Lanka",80.01667,6.86667
Travel Agents,AMERICAN LLOYD TRAVELS LTD,"NO. 8-1/3, YORK ARCADE BUILDING, LEYDEN BASTIAN ROAD, COLOMBO 01",,Colombo,Colombo,Colombo Divisional Secretariat,"NO. 8-1/3, YORK ARCADE BUILDING, LEYDEN BASTIAN ROAD, COLOMBO 01, Colombo, Sri Lanka",80.01667,6.86667
Travel Agents,SETMIL TRAVELS & TOURS (PVT) LTD,"SETMIL MERITIME CENTRE, NO.256, SRIMATH RAMANATHAN MAWATHA, COLOMBO 15",,Colombo,Colombo,Colombo Divisional Secretariat,"SETMIL MERITIME CENTRE, NO.256, SRIMATH RAMANATHAN MAWATHA, COLOMBO 15, Colombo, Sri Lanka",80.01667,6.86667
Travel Agents,SUDANS INTERNATIONAL TRAVELS AND TOURS (PVT) LTD,"NO.24B, PARANAWATTA, HENDALA, WATTALA",,Gampaha,Wattala Pradeshiya Sabha,Wattala Divisional Secretariat,"NO.24B, PARANAWATTA, HENDALA, WATTALA, Gampaha, Sri Lanka",79.883006,6.9889
Travel Agents,GULLIVERS TRAVELS (PRIVATE) LIMITED,"NO.48, LEVEL 06, PARKWAY, PARK STREET, COLOMBO 2",,Colombo,Colombo,Colombo Divisional Secretariat,"NO.48, LEVEL 06, PARKWAY, PARK STREET, COLOMBO 2, Colombo, Sri Lanka",80.01667,6.86667
