seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,gs,mp,fg_per_100_poss,fga_per_100_poss,fg_percent,x3p_per_100_poss,x3pa_per_100_poss,x3p_percent,x2p_per_100_poss,x2pa_per_100_poss,x2p_percent,ft_per_100_poss,fta_per_100_poss,ft_percent,orb_per_100_poss,drb_per_100_poss,trb_per_100_poss,ast_per_100_poss,stl_per_100_poss,blk_per_100_poss,tov_per_100_poss,pf_per_100_poss,pts_per_100_poss,o_rtg,d_rtg
29784,2022,4482,D.J. Wilson,NA,PF,25,5,NBA,TOR,4,1,54,10.2,13.9,0.733,0,1.9,0,10.2,12,0.846,7.4,9.3,0.8,0.9,13.9,14.8,4.6,4.6,0.9,1.9,5.6,27.8,149,100
29785,2022,4317,D'Angelo Russell,NA,PG,25,7,NBA,MIN,65,65,2077,9.2,22.3,0.411,4,11.9,0.34,5.2,10.5,0.492,4.5,5.5,0.825,0.6,4.4,4.9,10.5,1.4,0.5,3.8,3,26.9,112,115
29786,2022,4922,Daishen Nix,NA,SG,19,1,NBA,HOU,24,0,261,4.9,12.2,0.403,1.3,4.7,0.269,3.6,7.5,0.488,2.9,5.5,0.533,1.3,4.7,6,7.3,2.7,0,4.7,3.8,14,92,116
29787,2022,4820,Dakota Mathias,NA,SG,26,2,NBA,MEM,6,0,16,6,17.9,0.333,6,17.9,0.333,0,0,NA,0,0,NA,0,6,6,3,3,0,0,3,17.9,116,109
29788,2022,4923,Dalano Banton,NA,SF,22,1,NBA,TOR,64,1,696,6,14.5,0.411,0.9,3.7,0.255,5,10.8,0.464,1.9,3.2,0.591,2.7,6.2,8.9,7.1,2,0.7,3.8,4.9,14.7,98,111
29789,2022,4387,Damian Jones,NA,C,26,6,NBA,SAC,56,15,1017,8.3,12.6,0.658,0.5,1.4,0.345,7.8,11.2,0.696,4.4,6.2,0.718,3.5,8.1,11.6,3.3,1.2,2.2,2.8,6.2,21.5,128,113
29790,2022,4077,Damian Lillard,NA,PG,31,10,NBA,POR,29,29,1056,10.3,25.5,0.402,4.3,13.1,0.324,6,12.4,0.485,7.4,8.4,0.878,0.6,5,5.6,9.8,0.8,0.5,3.8,1.7,32.2,112,120
29791,2022,4484,Damion Lee,NA,SG,29,5,NBA,GSW,63,5,1256,6.6,14.9,0.441,2.4,7.3,0.337,4.1,7.6,0.541,2.6,2.9,0.88,1,6.8,7.9,2.4,1.5,0.2,1.5,3.7,18.1,111,109
29792,2022,4485,Damyean Dotson,NA,SG,27,5,NBA,NYK,2,0,21,4.8,9.5,0.5,0,2.4,0,4.8,7.1,0.667,0,0,NA,0,4.8,4.8,2.4,0,0,0,0,9.5,113,117
29793,2022,4705,Daniel Gafford,NA,C,23,3,NBA,WAS,72,53,1444,9.8,14.1,0.693,0,0,0,9.8,14,0.695,3.7,5.2,0.699,5.3,8.6,13.9,2.3,1,3.4,2.2,5.8,23.2,134,111
29794,2022,4821,Daniel Oturu,NA,C,22,2,NBA,TOR,3,0,27,5.6,11.1,0.5,0,1.9,0,5.6,9.3,0.6,5.6,9.3,0.6,1.9,7.4,9.3,0,0,3.7,0,1.9,16.7,123,111
29795,2022,4487,Daniel Theis,NA,C,29,5,NBA,TOT,47,27,977,7.5,14.4,0.519,1.6,5.3,0.308,5.8,9.1,0.641,2.4,3.6,0.681,3,8.4,11.3,2,1,1.5,2.3,5.5,19,113,112
29796,2022,4487,Daniel Theis,NA,C,29,5,NBA,HOU,26,21,584,6.8,14.6,0.469,1.9,6.4,0.291,5,8.1,0.61,2.2,3.3,0.675,2.6,8,10.6,1.6,0.9,1.4,2.5,5.1,17.8,104,117
29797,2022,4487,Daniel Theis,NA,C,29,5,NBA,BOS,21,6,393,8.5,14.2,0.598,1.3,3.5,0.357,7.2,10.6,0.679,2.8,4,0.688,3.5,9,12.5,2.7,1.1,1.8,1.9,6.2,21,128,106
