seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,mp,per,ts_percent,x3p_ar,f_tr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp
29740,2022,4915,Carlik Jones,NA,PG,24,1,NBA,TOT,5,23,-1.8,0.202,0.111,0.222,4.8,9.7,7.3,26.7,2.2,0,23.3,25.1,-0.2,0,-0.1,-0.285,-11.3,-4.2,-15.5,-0.1
29741,2022,4915,Carlik Jones,NA,PG,24,1,NBA,DAL,3,19,-4,0.127,0.143,0.286,5.8,11.7,8.8,32.3,2.6,0,27.6,25.8,-0.2,0,-0.1,-0.338,-13,-4.3,-17.3,-0.1
29742,2022,4915,Carlik Jones,NA,PG,24,1,NBA,DEN,2,4,8.9,0.5,0,0,0,0,0,0,0,0,0,21.9,0,0,0,-0.03,-3,-3.7,-6.7,0
29743,2022,3435,Carmelo Anthony,NA,PF,37,19,NBA,LAL,69,1793,14.8,0.579,0.549,0.22,3.7,13.5,8.6,5.6,1.3,2.6,6.9,20.4,2.2,1.4,3.6,0.097,0.4,-0.8,-0.5,0.7
29744,2022,4699,Carsen Edwards,NA,SG,23,3,NBA,DET,4,79,5.5,0.378,0.533,0.033,2.6,5.8,4.1,26.2,1.2,0,14.1,19.2,-0.1,0,-0.1,-0.075,-6,-3.4,-9.3,-0.1
29745,2022,4815,Cassius Stanley,NA,SG,22,2,NBA,DET,9,155,8,0.516,0.37,0.217,3.3,10.3,6.6,3.9,1.6,1.2,10.6,15.6,0,0.1,0.1,0.021,-4.9,-1,-5.8,-0.2
29746,2022,4816,Cassius Winston,NA,PG,23,2,NBA,WAS,7,39,6,0.549,0.545,0.364,0,2.8,1.4,24.4,0,0,19,18,0,0,0,0.015,-5.9,-3.5,-9.3,-0.1
29747,2022,4916,Cat Barber,NA,PG,27,1,NBA,ATL,3,13,-11.2,0,0,1,8.5,16.7,12.6,26.7,0,0,14.8,22.7,-0.1,0,-0.1,-0.45,-15.8,-7.6,-23.5,-0.1
29748,2022,4479,Cedi Osman,NA,SF,26,5,NBA,CLE,66,1462,13.3,0.563,0.628,0.229,1.9,9,5.5,14.1,1.8,0.6,9.6,21.1,1.3,1.6,2.9,0.094,-0.3,0.5,0.2,0.8
29749,2022,4596,Chandler Hutchison,NA,SF,25,4,NBA,PHO,6,22,1,0.694,0,1,0,23.8,12.2,10.5,0,0,58.1,13.5,-0.1,0,0,-0.086,-8,-0.5,-8.5,0
