seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,gs,mp,fg_per_36_min,fga_per_36_min,fg_percent,x3p_per_36_min,x3pa_per_36_min,x3p_percent,x2p_per_36_min,x2pa_per_36_min,x2p_percent,ft_per_36_min,fta_per_36_min,ft_percent,orb_per_36_min,drb_per_36_min,trb_per_36_min,ast_per_36_min,stl_per_36_min,blk_per_36_min,tov_per_36_min,pf_per_36_min,pts_per_36_min
29620,2021,4895,Vernon Carey Jr.,NA,C,19,1,NBA,CHO,19,4,115,5.6,11.3,0.5,0.3,2.2,0.143,5.3,9.1,0.586,2.8,3.4,0.818,1.9,6.6,8.5,0.6,0.3,1.6,1.6,4.1,14.4
29621,2021,4217,Victor Oladipo,NA,SG,28,8,NBA,TOT,33,33,1080,7.8,19.2,0.408,2.6,8,0.326,5.2,11.2,0.466,3.5,4.6,0.754,0.4,4.9,5.3,5,1.5,0.5,2.8,2.7,21.7
29622,2021,4217,Victor Oladipo,NA,SG,28,8,NBA,IND,9,9,300,7.7,18.2,0.421,3,8.3,0.362,4.7,10,0.47,3.2,4.4,0.73,0.1,6,6.1,4.6,1.8,0.2,2.2,2.8,21.6
29623,2021,4217,Victor Oladipo,NA,SG,28,8,NBA,HOU,20,20,669,8.3,20.5,0.407,2.6,8.2,0.32,5.7,12.3,0.465,3.5,4.5,0.783,0.4,4.7,5.1,5.3,1.3,0.5,2.7,2.4,22.8
29624,2021,4217,Victor Oladipo,NA,SG,28,8,NBA,MIA,4,4,111,5.2,13.9,0.372,1.3,5.5,0.235,3.9,8.4,0.462,3.9,5.8,0.667,1,3.6,4.5,4.5,2.3,0.6,4.5,4.2,15.6
29625,2021,4798,Vincent Poirier,NA,C,27,2,NBA,PHI,10,0,39,2.8,11.1,0.25,0,0.9,0,2.8,10.2,0.273,1.8,5.5,0.333,5.5,7.4,12.9,1.8,0,2.8,3.7,7.4,7.4
29626,2021,4799,Vlatko Čančar,NA,PF,23,2,NBA,DEN,41,1,281,4.2,9.2,0.458,1.2,4.2,0.273,3.1,5,0.615,1.3,1.7,0.769,1.4,5,6.4,1.8,1.4,0.3,1.8,2.3,10.9
29627,2021,3913,Wayne Ellington,NA,SG,33,12,NBA,DET,46,31,1012,5.3,12,0.441,4.1,9.8,0.422,1.2,2.2,0.524,1,1.2,0.8,0.4,2.6,3,2.4,0.6,0.3,1.2,2.1,15.7
29628,2021,4682,Wendell Carter Jr.,NA,C,21,3,NBA,TOT,54,44,1375,6,12,0.503,0.4,1.3,0.294,5.6,10.6,0.53,3.4,4.7,0.732,3.5,8.1,11.6,2.7,0.9,1.1,2,3.8,15.9
29629,2021,4682,Wendell Carter Jr.,NA,C,21,3,NBA,CHI,32,25,792,5.9,11.5,0.512,0.4,1,0.364,5.5,10.5,0.526,3.7,5,0.739,3.2,8.2,11.4,3.1,0.8,1.1,2.2,4.4,15.8
