Symbol,Year,Name,Country,Category,Market cap,Revenue,Earnings
EADSF,2021,Airbus,Netherlands,Aircraft manufacturers|Aerospace|CAC 40|Manufacturing|DAX,$99.97 B,,
EADSF,2022,Airbus,Netherlands,Aircraft manufacturers|Aerospace|CAC 40|Manufacturing|DAX,$85.54 B,,
GD,2001,General Dynamics,USA,Defense contractors,$15.98 B,$12.16 B,$1.47 B
GD,2002,General Dynamics,USA,Defense contractors,$17.26 B,$13.82 B,$1.64 B
GD,2003,General Dynamics,USA,Defense contractors,$17.89 B,$16.61 B,$1.48 B
GD,2004,General Dynamics,USA,Defense contractors,$21.02 B,$19.18 B,$2.51 B
GD,2005,General Dynamics,USA,Defense contractors,$22.83 B,$21.24 B,$2.37 B
GD,2006,General Dynamics,USA,Defense contractors,$30.16 B,$24.08 B,$2.77 B
GD,2007,General Dynamics,USA,Defense contractors,$35.95 B,$27.24 B,$3.17 B
GD,2008,General Dynamics,USA,Defense contractors,$22.45 B,$29.30 B,$3.73 B
GD,2009,General Dynamics,USA,Defense contractors,$26.29 B,$31.98 B,$3.68 B
GD,2010,General Dynamics,USA,Defense contractors,$26.40 B,$32.46 B,$3.95 B
GD,2011,General Dynamics,USA,Defense contractors,$23.64 B,$32.67 B,$3.87 B
GD,2012,General Dynamics,USA,Defense contractors,$24.69 B,$31.51 B,$0.70 B
GD,2013,General Dynamics,USA,Defense contractors,$33.76 B,$31.21 B,$3.71 B
GD,2014,General Dynamics,USA,Defense contractors,$45.71 B,$30.91 B,$3.90 B
GD,2015,General Dynamics,USA,Defense contractors,$42.99 B,$31.46 B,$4.20 B
GD,2016,General Dynamics,USA,Defense contractors,$52.57 B,$31.35 B,$4.33 B
GD,2017,General Dynamics,USA,Defense contractors,$60.74 B,$30.97 B,$4.19 B
GD,2018,General Dynamics,USA,Defense contractors,$45.38 B,$36.19 B,$4.45 B
GD,2019,General Dynamics,USA,Defense contractors,$51.07 B,$39.35 B,$4.67 B
GD,2020,General Dynamics,USA,Defense contractors,$42.70 B,$37.92 B,$4.24 B
GD,2021,General Dynamics,USA,Defense contractors,$57.87 B,,
GD,2022,General Dynamics,USA,Defense contractors,$68.11 B,,
HAL.NS,2019,Hindustan Aeronautics,India,Aerospace|Defense contractors,,$2.79 B,$0.57 B
HAL.NS,2020,Hindustan Aeronautics,India,Aerospace|Defense contractors,,$2.92 B,$0.59 B
HII,2010,Huntington Ingalls Industries,USA,Defense contractors,,$6.72 B,$0.23 B
HII,2011,Huntington Ingalls Industries,USA,Defense contractors,$1.52 B,$6.57 B,$0.11 B
HII,2012,Huntington Ingalls Industries,USA,Defense contractors,$2.14 B,$6.70 B,$0.35 B
HII,2013,Huntington Ingalls Industries,USA,Defense contractors,$4.38 B,$6.82 B,$0.51 B
HII,2014,Huntington Ingalls Industries,USA,Defense contractors,$5.43 B,$6.95 B,$0.65 B
HII,2015,Huntington Ingalls Industries,USA,Defense contractors,$5.94 B,$7.02 B,$0.76 B
HII,2016,Huntington Ingalls Industries,USA,Defense contractors,$8.54 B,$7.06 B,$0.85 B
