Rank,University,Town
78,Universitas Muhammadiyah Sumatera Utara,Medan
79,Universitas Mercu Buana Yogyakarta,Yogyakarta
80,Universitas Tadulako,Palu
81,Universitas Kristen Maranatha,Bandung
82,Universitas Kristen Duta Wacana,Yogyakarta
83,Universitas Trisakti,Jakarta
84,Universitas Islam Negeri Raden Intan Lampung,Bandar Lampung
85,Universitas Medan Area,Medan
86,Universitas Mataram,Mataram
87,Universitas Muhammadiyah Sidoarjo,Sidoarjo
88,Universitas Katolik Widya Mandala Surabaya,Surabaya
89,Universitas Pembangunan Nasional Veteran Jakarta,Jakarta
90,Universitas Semarang,Semarang
91,Universitas Kristen Satya Wacana,Salatiga
92,Universitas Pembangunan Nasional Veteran Yogyakarta,Sleman
93,Universitas Sultan Ageng Tirtayasa,Serang
94,Universitas Widyatama,Bandung
95,Universitas Muhammadiyah Surabaya,Surabaya
96,Universitas Muhammadiyah Prof. Dr. Hamka,Jakarta
97,Universitas Negeri Makassar,Makassar
98,Universitas Trunojoyo Madura,Bangkalan
99,Institut Seni Indonesia Yogyakarta,Yogyakarta
100,Universitas Islam Negeri Ar-Raniry,Banda Aceh
101,Universitas Swadaya Gunung Jati,Cirebon
102,Universitas Ciputra,Surabaya
103,Universitas Muhammadiyah Purworejo,Purworejo
104,Universitas Muria Kudus,Kudus
105,Universitas Islam Negeri Raden Fatah,Palembang
106,Universitas Pembangunan Nasional Veteran Jawa Timur,Surabaya
107,Universitas Muhammadiyah Metro,Metro
108,Universitas Islam Malang,Malang
109,Universitas Halu Oleo,Kendari
110,Universitas Tarumanagara,West Jakarta
111,Universitas AMIKOM Yogyakarta,Sleman
112,Universitas Budi Luhur,Jakarta
113,Universitas Multimedia Nusantara,Tangerang
114,Institut Seni Indonesia Surakarta,Surakarta
115,Universitas Darma Persada,Jakarta
116,Universitas Muhammadiyah Jakarta,South Tangerang
117,Universitas Potensi Utama,Medan
118,Universitas Negeri Gorontalo,Gorontalo
119,Universitas 17 Agustus 1945 Samarinda,Samarinda
120,Universitas Wahid Hasyim,Semarang
121,Institut Teknologi Nasional,Bandung
122,Universitas Darussalam Gontor,Ponorogo
123,Universitas Pakuan,Bogor
124,Universitas Dinamika,Surabaya
125,Universitas Tidar Magelang,Magelang
126,Universitas Nasional,Jakarta
127,Universitas PGRI Semarang,Semarang
128,Universitas Aisyiyah Yogyakarta,Sleman
129,Universitas Malikussaleh,Aceh Utara
130,Universitas Bina Darma,Palembang
131,Universitas Pancasila,Jakarta
132,Universitas Stikubank,Semarang
133,Institut Seni Indonesia Denpasar,Denpasar
134,Universitas Al Azhar Indonesia,Jakarta
135,Universitas Islam Negeri Antasari,Banjarmasin
136,Universitas Muhammadiyah Makassar,Makassar
137,Universitas Pattimura,Ambon
138,Universitas Siliwangi,Tasikmalaya
139,Universitas YARSI,Jakarta
140,Universitas Kanjuruhan Malang,Malang
141,Universitas Muhammadiyah Jember,Jember
142,Universitas Merdeka Malang,Malang
143,Universitas Presiden,Jababeka
144,Universitas Muhammadiyah Palembang,Palembang
145,Universitas Muhammadiyah Palangkaraya,Palangkaraya
146,Universitas Muhammadiyah Magelang,Magelang
147,Universitas Paramadina,Jakarta
148,Universitas Bangka Belitung,Pangkalpinang
149,Universitas Bakrie,Jakarta
150,Universitas Tribhuwana Tungga Dewi,Malang
151,Universitas Maritim Raja Ali Haji,Tanjung Pinang
152,Universitas Muslim Indonesia,Makassar
153,Universitas Jenderal Achmad Yani,Cimahi
154,Universitas Kuningan,Kuningan
155,Universitas 17 Agustus 1945 Semarang,Semarang
156,Universitas Sulawesi Barat,Majene
157,Universitas Nahdlatul Ulama Surabaya,Surabaya
158,Universitas Singaperbangsa Karawang,Karawang
159,Universitas Islam Riau,Pekanbaru
160,Universitas Kristen Indonesia,Jakarta
161,Universitas Islam Sumatera Utara,Medan
162,Universitas PGRI Palembang,Palembang
163,Universitas Nusantara PGRI Kediric,Kediri
164,Universitas Buana Perjuangan Karawang,Karawang
165,Universitas Muhammadiyah Aceh,Banda Aceh
166,Universitas Hang Tuah,Surabaya
167,Universitas Papua,Manokwari
168,Universitas Muhammadiyah Gresik,Gresik
169,Universitas Wijaya Kusuma Surabaya,Surabaya
170,Universitas Nusa Cendana,Kupang
171,Universitas Garut,Garut
172,Universitas Khairun,Ternate
173,Universitas Samudra Langsa,Langsa
174,Universitas Slamet Riyadi,Surakarta
175,Universitas Bhayangkara Jakarta Raya,Jakarta
176,Universitas Alma Ata,Yogyakarta
177,Universitas Palangka Raya,Palangka Raya
178,Universitas Bunda Mulia,Jakarta
179,Universitas Djuanda,Bogor
180,Universitas Pesantren Tinggi Darul 'Ulum,Jombang
