Date,City,State,Dead,Injured,Total,Description
2022-05-29,Henderson,Nevada,0,7,7,"Seven people were shot on U.S. Route 95, causing the highway to be shut down in both directions for several hours."
2022-05-29,Phoenix,Arizona,0,6,6,Six people were shot during a house party.
2022-05-29,Fergus,California,1,3,4,"Four people were shot, one fatally, at a house party during the early morning."
2022-05-29,Chicago,Illinois,0,5,5,"Five people, including a teenager, were shot in the West Garfield Park neighborhood in the early morning."
2022-05-29,Houston,Texas,0,4,4,Four people were shot in the Willow Springs neighborhood. A victim driving away from the scene fatally struck a motorcyclist.
2022-05-28,Colorado Springs,Colorado,1,3,4,"Four people were shot, one fatally, in a shooting in a bar parking lot during the early morning hours."
2022-05-28,Chattanooga,Tennessee,0,6,6,Six people were injured during an exchange of gunfire in the Riverfront neighborhood.
2022-05-28,Fresno,California,1,3,4,One teenager was killed and three were wounded in a shooting in the McLane neighborhood.
2022-05-28,Malabar,Florida,0,4,4,A disturbance between two teenagers at a house party escalated into a shooting that wounded four after one of the teenagers opened fire shortly before midnight.
2022-05-28,Memphis,Tennessee,0,4,4,Four people were shot during an illegal car show between the Hollywood and Hyde Park neighborhoods.
2022-05-27,Austin Township,Michigan,4,1,5,A man fatally shot his wife and his step-children before non-fatally shooting himself in the head.
2022-05-27,Anniston,Alabama,0,6,6,"Six people, including several teenagers, were shot at a graduation party."
2022-05-25,Philadelphia,Pennsylvania,0,4,4,"Four people were shot, including two teenagers, while on the way to a prom party in the Mantua neighborhood."
2022-05-24,Uvalde,Texas,22,18,40,"Robb Elementary School shooting: An 18-year-old shot his grandmother at their home before driving to Robb Elementary School, where he entered the school unobstructed, barricading himself inside a classroom and fatally shooting twenty-one people, including nineteen children. Eighteen people in total were wounded. The shooter was eventually fatally shot by a Border Patrol officer, which was shot during the shootout."
2022-05-23,Cleveland,Ohio,0,5,5,Five people were shot during a memorial service in the Collinwood neighborhood.
2022-05-23,North Charleston,South Carolina,0,5,5,Five people were injured in an early morning shooting at a nightclub. Several others were injured by broken glass during the chaos of the shooting.
2022-05-22,San Juan,Puerto Rico,5,0,5,Police discovered five people shot to death at a public housing complex in the Caimito barrio.
2022-05-22,Riverside,Alabama,4,0,4,A man fatally shot his two teenage daughters and his wife before shooting himself.
2022-05-21,Tacoma,Washington,0,4,4,A drive-by shooting in the South End area left four wounded.
2022-05-21,Goshen,Indiana,2,3,5,"A shooting occurred at a home, leaving two people dead and three injured."
