Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","194","Saudi Arabia","5110","Area","6601","Land area","2013","2013","1000 ha","214969","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","195","Senegal","5110","Area","6601","Land area","2013","2013","1000 ha","19253","Fm","Manual Estimation"
"RL","Land Use","272","Serbia","5110","Area","6601","Land area","2013","2013","1000 ha","8746","Fm","Manual Estimation"
"RL","Land Use","196","Seychelles","5110","Area","6601","Land area","2013","2013","1000 ha","46","Fm","Manual Estimation"
"RL","Land Use","197","Sierra Leone","5110","Area","6601","Land area","2013","2013","1000 ha","7218","Fm","Manual Estimation"
"RL","Land Use","200","Singapore","5110","Area","6601","Land area","2013","2013","1000 ha","70.7","Fm","Manual Estimation"
"RL","Land Use","199","Slovakia","5110","Area","6601","Land area","2013","2013","1000 ha","4808.8","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","198","Slovenia","5110","Area","6601","Land area","2013","2013","1000 ha","2014","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","25","Solomon Islands","5110","Area","6601","Land area","2013","2013","1000 ha","2799","Fm","Manual Estimation"
"RL","Land Use","201","Somalia","5110","Area","6601","Land area","2013","2013","1000 ha","62734","Fm","Manual Estimation"
"RL","Land Use","202","South Africa","5110","Area","6601","Land area","2013","2013","1000 ha","121309","Fm","Manual Estimation"
"RL","Land Use","203","Spain","5110","Area","6601","Land area","2013","2013","1000 ha","50021","Fm","Manual Estimation"
"RL","Land Use","38","Sri Lanka","5110","Area","6601","Land area","2013","2013","1000 ha","6271","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","207","Suriname","5110","Area","6601","Land area","2013","2013","1000 ha","15600","Fm","Manual Estimation"
"RL","Land Use","210","Sweden","5110","Area","6601","Land area","2013","2013","1000 ha","40734","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","211","Switzerland","5110","Area","6601","Land area","2013","2013","1000 ha","3951.6","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6601","Land area","2013","2013","1000 ha","18363","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","208","Tajikistan","5110","Area","6601","Land area","2013","2013","1000 ha","13996","Fm","Manual Estimation"
"RL","Land Use","216","Thailand","5110","Area","6601","Land area","2013","2013","1000 ha","51089","Fm","Manual Estimation"
"RL","Land Use","154","North Macedonia","5110","Area","6601","Land area","2013","2013","1000 ha","2522","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","176","Timor-Leste","5110","Area","6601","Land area","2013","2013","1000 ha","1487","Fm","Manual Estimation"
"RL","Land Use","217","Togo","5110","Area","6601","Land area","2013","2013","1000 ha","5439","Fm","Manual Estimation"
"RL","Land Use","218","Tokelau","5110","Area","6601","Land area","2013","2013","1000 ha","1","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","219","Tonga","5110","Area","6601","Land area","2013","2013","1000 ha","72","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","220","Trinidad and Tobago","5110","Area","6601","Land area","2013","2013","1000 ha","513","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","222","Tunisia","5110","Area","6601","Land area","2013","2013","1000 ha","15536","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","223","Turkey","5110","Area","6601","Land area","2013","2013","1000 ha","76963","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","213","Turkmenistan","5110","Area","6601","Land area","2013","2013","1000 ha","46993","Fm","Manual Estimation"
"RL","Land Use","224","Turks and Caicos Islands","5110","Area","6601","Land area","2013","2013","1000 ha","95","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","227","Tuvalu","5110","Area","6601","Land area","2013","2013","1000 ha","3","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","226","Uganda","5110","Area","6601","Land area","2013","2013","1000 ha","20052","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","230","Ukraine","5110","Area","6601","Land area","2013","2013","1000 ha","57932","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","225","United Arab Emirates","5110","Area","6601","Land area","2013","2013","1000 ha","7102","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","229","United Kingdom","5110","Area","6601","Land area","2013","2013","1000 ha","24193","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","215","United Republic of Tanzania","5110","Area","6601","Land area","2013","2013","1000 ha","88580","Fm","Manual Estimation"
"RL","Land Use","231","United States of America","5110","Area","6601","Land area","2013","2013","1000 ha","914742","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","240","United States Virgin Islands","5110","Area","6601","Land area","2013","2013","1000 ha","35","W","Data reported on country official publications or web sites (Official) or trade country files"
