personLabel,birth,death,age,genderLabel
Lev Dyomin,1926-01-11T00:00:00Z,1998-12-18T00:00:00Z,72,male
Li Qinglong,1962-08-01T00:00:00Z,,,male
Linda M. Godwin,1952-07-02T00:00:00Z,,,female
Lisa Nowak,1963-05-10T00:00:00Z,,,female
Liu Boming,1966-10-29T00:00:00Z,,,male
Liu Wang,1969-03-25T00:00:00Z,,,male
Liu Yang,1978-10-06T00:00:00Z,,,female
"Livingston L. Holder, Jr.",1956-09-29T00:00:00Z,,,male
Lodewijk van den Berg,1932-03-24T00:00:00Z,,,male
Loral O'Hara,1983-05-03T00:00:00Z,,,female
Loren Acton,1936-03-07T00:00:00Z,,,male
Loren Shriver,1944-09-23T00:00:00Z,,,male
Louis William Butterworth,1948-07-17T00:00:00Z,,,male
Luca Parmitano,1976-09-27T00:00:00Z,,,male
Luca Urbani,1957-05-11T00:00:00Z,,,male
Mae C. Jemison,1956-10-17T00:00:00Z,,,female
Magomed Tolboyev,1951-01-20T00:00:00Z,,,male
Maidarzhavyn Ganzorig,1949-02-05T00:00:00Z,,,male
Maksim Ponomaryov,1980-02-20T00:00:00Z,,,male
Maksim Surayev,1972-05-24T00:00:00Z,,,male
Mamoru Mohri,1948-01-29T00:00:00Z,,,male
Marc Garneau,1949-02-23T00:00:00Z,,,male
Marcos Pontes,1963-03-11T00:00:00Z,,,male
Margaret Rhea Seddon,1947-11-08T00:00:00Z,,,female
Marianne Merchez,1960-10-25T00:00:00Z,,,female
"Mario Runco, Jr.",1952-01-26T00:00:00Z,,,male
Mark C. Lee,1952-08-14T00:00:00Z,,,male
Mark Kelly,1964-02-21T00:00:00Z,,,male
Mark L. Polansky,1956-06-02T00:00:00Z,,,male
Mark N. Brown,1951-11-18T00:00:00Z,,,male
Mark Shuttleworth,1973-09-18T00:00:00Z,,,male
Mark T. Vande Hei,1966-11-10T00:00:00Z,,,male
Marsha Ivins,1951-04-15T00:00:00Z,,,female
Martin J. Fettman,1956-12-31T00:00:00Z,,,male
Mary Ellen Weber,1962-08-24T00:00:00Z,,,female
Mary Helen Johnston,1945-09-17T00:00:00Z,,,female
Mary L. Cleave,1947-02-05T00:00:00Z,,,female
Matthew Dominick,1981-12-07T00:00:00Z,,,male
Matthias Maurer,1970-03-18T00:00:00Z,,,male
Maurizio Cheli,1959-05-04T00:00:00Z,,,male
Michael A. Baker,1953-10-27T00:00:00Z,,,male
Michael Barratt,1959-04-16T00:00:00Z,,,male
Michael Coats,1946-01-16T00:00:00Z,,,male
Michael Collins,1930-10-31T00:00:00Z,,,male
Michael E. Fossum,1957-12-19T00:00:00Z,,,male
Michael Eugene Belt,1957-09-09T00:00:00Z,,,male
Michael Fincke,1967-03-14T00:00:00Z,,,male
Michael Foale,1957-01-06T00:00:00Z,,,male
Michael Foreman,1957-03-29T00:00:00Z,,,male
