RANKING ,VIDEO GAME NAME ,Year,genre,Rating,DETAILS,DIRECTOR ,ACTOR-1,ACTOR-2,ACTOR-3,ACTOR-4,VOTES ,certificate
36,Persona 5,(2016 Video Game),"Action, Adventure, Fantasy",9.3,A group of high school students create a vigilante group to expose the crimes of corrupt adults but soon find themselves in the midst of a worldwide conspiracy and targeted by powerful individuals who would do anything to silence them.,Katsura Hashino,Jun Fukuyama,Mamoru Miyano,Nana Mizuki,Ikue Ôtani,2390,M
37,Kingdom Hearts HD 1.5 Remix,(2013 Video Game),"Action, Adventure, Family",9.1,"A compilation of three classic games, Kingdom Hearts Final Mix (updated version of the original Kingdom Hearts game,  (2007) and  (2009).",Tetsuya Nomura,Billy Zane,Haley Joel Osment,Hayden Panettiere,David Gallagher,773,E10+
38,P.T.,(2014 Video Game),"Horror, Mystery",9.3,"The player must navigate a series of continuously looping hallways, solving cryptic puzzles, all while being hunted by a hostile apparition named Lisa.",Guillermo del Toro,Hideo Kojima,Norman Reedus,,,1547,Not Rated
39,Persona 4 Golden,(2012 Video Game),"Action, Adventure, Fantasy",9.3,"A group of high school students discover a hidden TV world called 'The Midnight Channel', an alternate reality infested with shadows that is being used to commit murder. After awakening to their Personas, the group decides to investigate.",Daiki Itô,Shôtarô Morikubo,Teppei Kobayashi,Atsushi Watanabe,Daisuke Namikawa,921,M
40,It Takes Two,(2021 Video Game),"Adventure, Comedy, Drama",9.3,"Embark on the craziest journey of your life in It Takes Two, a genre-bending platform adventure created purely for co-op. Invite a friend to join for free with Friend's Pass and work ...                 »",Josef Fares,Joseph Balderrama,Annabelle Dowler,Clare Corbett,Stephen Greif,1116,
41,Shin Megami Tensei: Persona 4,(2008 Video Game),"Action, Adventure, Fantasy",9.2,"A high school student forms a group that explores a hidden world accessible through TV sets to find a connection between the ""realm of shadows"" and the mysterious murders in their town.",Katsura Hashino,Yui Horie,Susumu Nishizawa,Daisuke Namikawa,Shôtarô Morikubo,967,M
42,Kingdom Hearts II: Final Mix+,(2007 Video Game),"Action, Adventure, Family",9.3,Sora and friends must set out on another adventure to find his long lost friends and stop Organization XIII.,Tetsuya Nomura,Haley Joel Osment,David Gallagher,Hayden Panettiere,Jesse McCartney,1214,
43,Shadow of the Colossus,(2005 Video Game),"Action, Adventure, Drama",9.3,A young man brings a deceased woman to a forbidden land inhabited by colossal beings said to house the power to revive the dead.,Fumito Ueda,Kenji Nojima,Kazuhiro Nakata,Kyôko Hikami,Naoki Bando,3848,T
44,Kingdom Hearts II,(2005 Video Game),"Action, Adventure, Family",9.3,"Sora and friends face mysterious new enemies as they continue their journey to save all worlds, and find Riku and King Mickey.",Tetsuya Nomura,Haley Joel Osment,David Gallagher,Hayden Panettiere,Jesse McCartney,6975,E10+
45,Suikoden II,(1998 Video Game),"Action, Adventure, Drama",9.2,"Three years after the Gate Rune War, the 108 Stars of Destiny once again gather to protect the City-State of Jowston from the invading Kingdom of Highland, led by the demonic Luca Blight.",Yoshitaka Murayama,,,,,407,T
46,The Legend of Zelda: A Link to the Past,(1991 Video Game),"Action, Adventure, Fantasy",9.3,"The wizard Agahnim has abducted seven maidens, intent on using their power to open a portal to the Dark World. Armed with a trusty sword and shield, Link begins a great and treacherous journey.",Takashi Tezuka,Hidemaro Fujibayashi,Fujiko Takimoto,,,3220,
47,The Secret of Monkey Island,(1990 Video Game),"Adventure, Comedy, Fantasy",9.3,"Young pirate wanna-be Guybrush Threepwood sets out to pass the Three Trials, woo the governess Elaine Marley, reach the fabled Monkey Island and vanquish the nefarious ghost pirate LeChuck.",Ron Gilbert,Leilani Jones,Dominic Armato,Earl Boen,Alexandra Boyd,3017,E
48,Super Mario World,(1990 Video Game),"Action, Adventure, Family",9.3,"While Mario and Luigi are vacationing in Dinosaur Land, Bowser kidnaps the Princess. Mario and his new dino friend Yoshi go on a mission to save her.",Takashi Tezuka,,,,,4574,E
49,Spider-Man,(2018 Video Game),"Action, Adventure, Fantasy",9.2,"When a new villain threatens New York City, Peter Parker and Spider-Man's worlds collide. To save the city and those he loves, he must rise up and be greater.",Ryan Smith,Yuri Lowenthal,Tara Platt,Travis Willingham,William Salyers,17514,T
50,Detroit: Become Human,(2018 Video Game),"Action, Drama, Mystery",9.2,Take control of three androids in their quest to discover who they really are.,David Cage,Valorie Curry,Bryan Dechart,Jesse Williams,Audrey Boustani,14507,M
51,Bloodborne,(2015 Video Game),"Action, Adventure, Fantasy",9.2,"A hunter awakens in the plagued lands of Yharnam, where the denizens have succumb to beast hood, in an attempt to learn the truth and how to end the plague, unbeknownst of the true horror lurking within the city.",Hidetaka Miyazaki,Daniel Fine,Joe Sims,William Vanderpuye,Andrew Tiernan,4416,M
