"Season","Player","WS"
1981,"Jim McElroy",-0.9
1981,"Jim Paxson",7.7
1981,"Jim Spanarkel",5.5
1981,"Jo Jo White*",0.1
1981,"Joe Barry Carroll",5.7
1981,"Joe Bryant",3.4
1981,"Joe Hassett",1.4
1981,"Joe Meriweather",2.6
1981,"Joel Kramer",2.9
1981,"John Drew",5.4
1981,"John Duren",-0.9
1981,"John Johnson",1.2
1981,"John Lambert",0.4
1981,"John Long",2.4
1981,"John Lucas",1.3
1981,"John Mengelt",-0.1
1981,"John Roche",0.8
1981,"John Shumate",0.5
1981,"John Stroud",-0.1
1981,"John Williamson",-0.3
1981,"Johnny Davis",5.7
1981,"Johnny High",2.5
1981,"Johnny Moore",3.2
1981,"Julius Erving*",13.8
1981,"Junior Bridgeman",6.7
1981,"Kareem Abdul-Jabbar*",14.3
1981,"Keith Herron",3.5
1981,"Keith McCord",0
1981,"Kelvin Ransey",2.8
1981,"Kenny Carr",5.8
1981,"Kenny Higgs",1.5
1981,"Kenny Natt",-0.2
1981,"Kent Benson",3.1
1981,"Kermit Washington",6.8
1981,"Kevin Grevey",5.8
1981,"Kevin Kunnert",1.9
1981,"Kevin McHale*",4.7
1981,"Kevin Porter",6.4
1981,"Kevin Restani",2.1
1981,"Kiki Vandeweghe",1.2
1981,"Kim Hughes",-0.1
1981,"Kyle Macy",4.5
1981,"Larry Bird*",10.8
1981,"Larry Demic",1.6
1981,"Larry Drew",0
1981,"Larry Kenon",4.1
1981,"Larry Smith",6.1
1981,"Larry Wright",1.2
1981,"Lee Johnson",-0.2
1981,"Len Elmore",1.6
1981,"Leon Douglas",3.2
1981,"Lewis Brown",-0.1
1981,"Lionel Hollins",2.9
1981,"Lloyd Walton",0.1
1981,"Lonnie Shelton",0.1
1981,"Lorenzo Romar",0.5
1981,"Louis Orr",4.3
1981,"Lowes Moore",1.1
1981,"M.L. Carr",1.1
1981,"Mack Calvin",0
1981,"Magic Johnson*",6.4
1981,"Major Jones",1.2
1981,"Mark Landsberger",2.2
1981,"Mark Olberding",6.6
1981,"Marques Johnson",11.2
1981,"Marty Byrnes",2.3
1981,"Marvin Webster",2.7
1981,"Maurice Cheeks",8.5
1981,"Maurice Lucas",3.5
1981,"Mel Bennett",0.3
1981,"Michael Brooks",4.9
1981,"Michael Cooper",5
1981,"Michael Wiley",0.8
1981,"Micheal Ray Richardson",6.9
1981,"Mickey Johnson",5.3
1981,"Mike Bantom",4.4
1981,"Mike Bratz",2.1
1981,"Mike Dunleavy",3
1981,"Mike Evans",1.6
1981,"Mike Gale",2.4
1981,"Mike Glenn",4.4
1981,"Mike Gminski",1.5
1981,"Mike Harper",0.1
1981,"Mike Mitchell",6
1981,"Mike Newlin",6.1
1981,"Mike Niles",-0.3
1981,"Mike O'Koren",3.8
1981,"Mike Woodson",0.9
1981,"Mitch Kupchak",5.2
1981,"Monti Davis",-0.1
1981,"Moses Malone*",13.7
1981,"Mychal Thompson",5.3
1981,"Myles Patrick",0
1981,"Norm Nixon",5.5
1981,"Norman Black",-0.1
1981,"Ollie Johnson",1.3
1981,"Ollie Mack",1.6
1981,"Otis Birdsong",8.2
1981,"Pat Cummings",2.7
1981,"Paul Griffin",4.9
1981,"Paul Mokeski",1.7
1981,"Paul Westphal",2.4
1981,"Phil Chenier",0
