Incident_Date,Aircaft_Model,Aircaft_Registration,Aircaft_Operator,Aircaft_Nature,Incident_Category,Incident_Cause(es),Incident_Location,Aircaft_Damage_Type,Date,Time,Arit,Aircaft_Engines,Onboard_Crew,Onboard_Passengers,Onboard_Total,Fatalities,Aircaft_First_Flight,Aircraft_Phase,Departure_Airport,Destination_Airport,Ground_Casualties,Collision_Casualties
30-JAN-2019,Beechcraft 200 Super King Air,C-GTUC,Air Tindi,Unknown,Accident | hull-loss,"Airplane - Instruments, Airplane - Instruments - ADI, Result - Loss of control",near Whatì/Lac La...,Destroyed,Wednesday 30 January 2019,09:12,30-JAN-2019,2 Pratt Whitney Canada PT6A-42,Fatalities: 2 / Occupants: 2,Fatalities: 0 / Occupants: 0,Fatalities: 2 / Occupants: 2,2,1977,En route (ENR),"Yellowknife Airport, NT (YZF/CYZF) , Canada","Whatì/Lac La Martre Airport, NT (YLE) , Canada",,
04-FEB-2019,Boeing 737-332,ST-TAL,"Tarco Air, opf Sudan Airways",International Scheduled Passenger,Hijacking | repairable-damage,"Result - Hijacking - Hijacker(s) overpowered by occupants, Security - Hijack",Khartoum-Civ...,None,Monday 4 February 2019,,04-FEB-2019,2 CFMI CFM56-3B1,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants: 91,0,1993-06-03  (25 years 8 months),En route (ENR),"Cairo International Airport (CAI/HECA) , Egypt","Khartoum-Civil Airport (KRT/HSSS) , Sudan",,
08-FEB-2019,Convair C-131B Samaritan,N145GT,Conquest Air Cargo,Cargo,Accident | hull-loss,"Airplane - Engines, Airplane - Engines - All engine powerloss, Result - Emergency, forced landing - Ditching",near Bay Harbor I...,Destroyed,Friday 8 February 2019,12:16,08-FEB-2019,2 Pratt Whitney R-2800-CB3,Fatalities: 1 / Occupants: 2,Fatalities: 0 / Occupants: 0,Fatalities: 1 / Occupants: 2,1,1955,En route (ENR),"Nassau-Lynden Pindling International Airport (NAS/MYNN) , Bahamas","Miami-Opa locka Executive Airport (OPF/KOPF) , United States of America",,
08-FEB-2019,Airbus A321-251N,SE-RKA,Novair,International Scheduled Passenger,Accident | repairable-damage,"Landing/takeoff - Landing, Landing/takeoff - Landing - Heavy, Landing/takeoff - Tailstrike, Result - Runway mishap",Billund Airp...,Substantial,Friday 8 February 2019,19:07,08-FEB-2019,2 CFMI LEAP-1A32,Fatalities: 0 / Occupants: 7,Fatalities: 0 / Occupants: 205,Fatalities: 0 / Occupants: 212,0,2017-06-23  (1 year 8 months),Landing (LDG),"Lanzarote Airport (ACE/GCRR) , Spain","Billund Airport (BLL/EKBI) , Denmark",,
09-FEB-2019,Embraer ERJ 190AR (ERJ-190-100 IGW),5Y-KYR,Kenya Airways,-,"other occurrence (ground fire, sabotage) | repairable-damage",Result - Damaged on the ground,Nairobi-Jomo...,Substantial,Saturday 9 February 2019,,09-FEB-2019,2 General Electric CF34-10E6,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,0,2011-08-19  (7 years 6 months),Standing (STD),-,-,,
09-FEB-2019,Embraer ERJ 190AR (ERJ-190-100 IGW),5Y-FFF,Kenya Airways,-,"other occurrence (ground fire, sabotage) | repairable-damage",Result - Damaged on the ground,Nairobi-Jomo...,Substantial,Saturday 9 February 2019,,09-FEB-2019,2 General Electric CF34-10E6,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,0,2013,Standing (STD),-,-,,
09-FEB-2019,Cessna 208 Caravan I,PR-RTA,RICO,Domestic Non Scheduled Passenger,Accident | hull-loss,"Collision - Object, Collision - Object - Trees, Result - Runway mishap","near Caracaraí, RR",Substantial,Saturday 9 February 2019,13:40 UTC,09-FEB-2019,,Fatalities: 0 / Occupants: 2,Fatalities: 0 / Occupants: 8,Fatalities: 0 / Occupants: 10,0,2004,Landing (LDG),"Manaus-Eduardo Gomes International Airport, AM (MAO/SBEG) , Brazil",?,,
11-FEB-2019,Raytheon Beechjet 400A,N750TA,Stein's Aircraft Services,Executive,Accident | hull-loss,Result - Runway excursion,Richmond Mun...,Substantial,Monday 11 February 2019,10:06,11-FEB-2019,2 Pratt Whitney Canada JT15D-5,Fatalities: 0 / Occupants: 2,Fatalities: 0 / Occupants: 1,Fatalities: 0 / Occupants: 3,0,1999,Landing (LDG),"Waukesha Airport, WI (UES/KUES) , United States of America","Richmond Municipal Airport, IN (RID/KRID) , United States of America",,
13-FEB-2019,Boeing 747-406M,PH-BFV,KLM,International Scheduled Passenger,Accident | repairable-damage,"Collision - Aircraft, Collision - Aircraft - On ground (platform), Result - Damaged on the ground",Amsterdam-Sc...,Minor,Wednesday 13 February 2019,09:45,13-FEB-2019,4 General Electric CF6-80C2B1F,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,0,1999-08-03  (19 years 7 months),Pushback / towing (PBT),"Amsterdam-Schiphol International Airport (AMS/EHAM) , Netherlands","Los Angeles International Airport, CA (LAX/KLAX) , United States of America",,
13-FEB-2019,Boeing 787-9 Dreamliner,PH-BHA,KLM,International Scheduled Passenger,Accident | repairable-damage,"Collision - Aircraft, Collision - Aircraft - On ground (platform), Result - Damaged on the ground",Amsterdam-Sc...,Minor,Wednesday 13 February 2019,09:45,13-FEB-2019,2 General Electric CF6-80C2B1F,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,0,2015-10-14  (3 years 4 months),Standing (STD),"Amsterdam-Schiphol International Airport (AMS/EHAM) , Netherlands","Atlanta Hartsfield-Jackson International Airport, GA (ATL/KATL) , United States of America",,
