time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-01-04T16:32:41.120Z,-7.3245,120.0514,543.45,4.1,mb,,94,2.526,0.84,us,us2000cksj,2018-02-03T16:33:02.040Z,"110km NNW of Nggilat, Indonesia",earthquake,13.1,6.5,0.109,25,reviewed,us,us
2018-01-04T15:54:06.440Z,-1.2136,101.0692,149.82,4.3,mb,,105,1.529,1.03,us,us2000cksi,2018-02-03T15:30:34.760Z,"21km ENE of Surian, Indonesia",earthquake,8.6,7,0.101,29,reviewed,us,us
2018-01-04T13:26:32.060Z,-8.671,122.9003,111.76,4.3,mb,,74,0.656,1.02,us,us1000c0nc,2018-02-04T14:18:39.040Z,"18km ESE of Watubuku, Indonesia",earthquake,8.5,7,0.116,21,reviewed,us,us
2018-01-04T10:39:24.860Z,-5.6368,102.6738,33.27,4.4,mb,,102,3.385,0.8,us,us2000cksh,2018-02-06T10:08:35.040Z,"137km WSW of Kuripan, Indonesia",earthquake,7.7,6.8,0.115,22,reviewed,us,us
2018-01-04T00:34:32.620Z,1.9603,120.9951,48.69,4.4,mb,,116,0.87,0.68,us,us1000c0ip,2018-01-20T06:10:05.040Z,"100km NNW of Kali, Indonesia",earthquake,6.9,9.4,0.123,19,reviewed,us,us
2018-01-04T00:15:35.990Z,3.6352,126.8713,34.92,4.2,mb,,131,2.887,0.75,us,us2000cks5,2018-01-20T05:57:22.040Z,"245km NNW of Tobelo, Indonesia",earthquake,10.6,8.9,0.124,18,reviewed,us,us
2018-01-03T22:41:44.550Z,3.5302,126.4491,50.47,4.5,mb,,109,2.889,0.87,us,us1000bzla,2018-01-20T04:18:52.040Z,"234km SSE of Sarangani, Philippines",earthquake,5.3,7.7,0.094,33,reviewed,us,us
2018-01-03T17:41:01.870Z,-10.2531,109.846,10,4.1,mb,,79,2.42,1.26,us,us1000c0sl,2018-01-22T17:17:39.040Z,"259km S of Bambanglipuro, Indonesia",earthquake,8.9,1.9,0.15,12,reviewed,us,us
2018-01-03T14:46:14.600Z,-5.8764,103.2125,39.9,4.5,mb,,168,1.527,1.28,us,us1000bzbv,2018-01-24T08:41:40.040Z,"108km SW of Biha, Indonesia",earthquake,6.5,9.2,0.113,23,reviewed,us,us
2018-01-03T09:39:30.400Z,4.0723,126.6019,55.9,4.3,mb,,119,3.146,0.85,us,us1000bza1,2018-01-31T13:30:23.040Z,"193km SE of Sarangani, Philippines",earthquake,8.5,8.6,0.106,25,reviewed,us,us
