name,price,description,host,rating,duration,lectures,level,url
Data Science A-Z™: Real-Life Data Science Exercises Included,468,"Learn Data Science step by step through real Analytics examples. Data Mining, Modeling, Tableau Visualization and more!","Kirill Eremenko, Ligency Team",4.5,21 total hours,217 lectures,All Levels,https://www.udemy.com/course/datascience/
Statistics for Business Analytics and Data Science A-Z™,618,"Learn The Core Stats For A Data Science Career. Master Statistical Significance, Confidence Intervals And Much More!","Kirill Eremenko, Ligency Team",4.5,6 total hours,42 lectures,All Levels,https://www.udemy.com/course/data-statistics/
Deep Learning A-Z™: Hands-On Artificial Neural Networks,455,Learn to create Deep Learning Algorithms in Python from two Machine Learning & Data Science experts. Templates included.,"Kirill Eremenko, Hadelin de Ponteves, Ligency Team",4.5,22.5 total hours,173 lectures,All Levels,https://www.udemy.com/course/deeplearning/
Power BI A-Z: Hands-On Power BI Training For Data Science!,455,Learn Microsoft Power BI for Data Science and Data Analytics. Build visualizations and BI reports with Power BI Desktop,"Kirill Eremenko, Ligency Team",4.5,4.5 total hours,44 lectures,All Levels,https://www.udemy.com/course/mspowerbi/
DP-100: A-Z Machine Learning using Azure Machine Learning,455,Microsoft Azure DP-100: Designing and Implementing a Data Science Solution Exam Covered. Learn Azure Machine Learning,"Python, Data Science & Machine Learning A-Z Team",4.5,29 total hours,243 lectures,All Levels,https://www.udemy.com/course/machine-learning-using-azureml/
Careers in Data Science A-Z™,455,"How to Become a Top Level Data Scientist - Learn What to Expect, How to be Prepared, How to Stand Out and More...","Kirill Eremenko, Hadelin de Ponteves, Ligency Team",4.5,3.5 total hours,52 lectures,Beginner,https://www.udemy.com/course/careers-in-data-science-a-ztm/
Intro to Data Science: Your Step-by-Step Guide To Starting,618,"Learn the critical elements of Data Science, from visualization to databases to Python and more, in just 6 weeks!","Kirill Eremenko, Hadelin de Ponteves, Ligency Team",4.5,5.5 total hours,42 lectures,Beginner,https://www.udemy.com/course/intro-to-data-science/
The Product Management for AI & Data Science Course 2021,455,The Complete Course for Becoming a Successful Product Manager in the Field of AI & Data Science,"365 Careers, Danielle Thé",4.5,5 total hours,67 lectures,All Levels,https://www.udemy.com/course/the-product-management-for-data-science-ai-course/
TABLEAU 2018: Hands-On Tableau Training For Data Science!,455,Learn Tableau for Data Science step-by-step. Real-Life Data Analytics Exercises & Quizzes Included. Learn by doing!,"Kirill Eremenko, Ligency Team",4.5,8 total hours,75 lectures,All Levels,https://www.udemy.com/course/tableau-2018/
RA: Data Science and Supply Chain analytics. A-Z with Python,455,"Learn Python, Supply Chain Data Science ,Linear Programming, Forecasting, Pricing and Inventory Management.",Haytham Omar,4.5,37 total hours,406 lectures,All Levels,https://www.udemy.com/course/ra-data-science-and-supply-chain-analytics-a-z-with-python/
Data Science : Master Machine Learning Without Coding,455,Learn Fundamentals Of Data Science & Machine Learning With Rapidminer (No Coding). Dataset & Solutions Included.,Ram Prasad,4.5,2.5 total hours,63 lectures,Beginner,https://www.udemy.com/course/hands-on-machine-learning-without-writing-code/
